,en,ru,pl,be,uk,bg,sl,cs
0, Summerhill |0|  is often cited as an example of anarchism in practice.,Саммерхилл |0| часто приводится как пример анархизма на практике.,Summerhill |0| jest często przytaczany jako przykład praktycznego anarchizmu.,Саммерхіл |0| часта прыводзіцца ў якасці прыкладу анархізму на практыцы.,Саммерхіл |0| часто наводять як приклад анархізму на практиці.,Summerhill |0| често се цитира като пример за анархизъм на практика.,Summerhill |0| je pogosto naveden kot primer anarhizma v praksi.,Summerhill |0| je často uváděn jako příklad anarchismu v praxi.
1, Studies by the Hadley |0|  Centre |0|  have investigated the relative ( generally warming) effect of albedo change and ( cooling) effect of carbon sequestration on planting forests., Исследования Хэдли |0| Центр |0| исследовали относительное (обычно согревающее) влияние изменения альбедо и (охлаждающее) влияние секвестрации углерода на посадку леса., Badania Hadley |0| Środek |0| zbadali względny (ogólnie ocieplający) wpływ zmiany albedo i (chłodzący) wpływ sekwestracji węgla na sadzenie lasów., Даследаванні Хэдлі |0| Цэнтр |0| даследавалі адноснае (агульнае пацяпленне) эфект змены альбеда і (ахалоджвання) эфект секвестрацыі вугляроду на пасадкі лясоў., Дослідження Хедлі |0| Центр |0| дослідили відносний (загальне потепління) ефект зміни альбедо та (охолодження) ефекту поглинання вуглецю на насадження лісів., Изследвания на Hadley |0| Център |0| са изследвали относителния (общо затоплящ) ефект на промяната на албедото и (охлаждащ) ефект на улавянето на въглерод върху засаждането на гори., Študije Hadleyja |0| Center |0| so raziskali relativni (splošno segrevanje) učinek spremembe albeda in (hladilni) učinek sekvestracije ogljika na sajenje gozdov., Studie Hadley |0| Střed |0| zkoumali relativní (obecně oteplovací) účinek změny albeda a (ochlazovací) účinek sekvestrace uhlíku na výsadbu lesů.
2, Democrats |0|  are still the majority party in both houses of the legislature., демократы |0| по-прежнему являются партией большинства в обеих палатах законодательного собрания., Demokraci |0| są nadal partią większościową w obu izbach ustawodawczych., Дэмакраты |0| па-ранейшаму з'яўляюцца партыяй большасці ў абедзвюх палатах заканадаўчага органа., Демократи |0| досі є партією більшості в обох палатах законодавчого органу., Демократи |0| все още са партия с мнозинство в двете камари на парламента., Demokrati |0| so še vedno večinska stranka v obeh domovih., demokraté |0| jsou stále většinovou stranou v obou komorách zákonodárného sboru.
3, Sanmina-SCI |0|  has a large presence in the area., Санмина-SCI |0| имеет большое присутствие в этом районе., Sanmina-SCI |0| ma dużą obecność w okolicy., Санміна-SCI |0| мае вялікую прысутнасць у раёне., Sanmina-SCI |0| має велику присутність у районі., Sanmina-SCI |0| има голямо присъствие в района., Sanmina-SCI |0| ima veliko prisotnost na tem območju., Sanmina-SCI |0| má v oblasti velké zastoupení.
4," Eight days later, the Council |0|  convenes once more.", Восемь дней спустя Совет |0| созывается еще раз., Osiem dni później Rada |0| zbiera się jeszcze raz., Праз восем дзён Савет |0| склікаецца яшчэ раз., Через вісім днів Рада |0| збирається ще раз., Осем дни по-късно Съветът |0| свиква още веднъж., Osem dni pozneje je Svet |0| skliče še enkrat., O osm dní později Rada |0| schází ještě jednou.
5, The General Council |0|  is also responsible for proposing and passing laws., Генеральный совет |0| также отвечает за предложение и принятие законов., Rada Generalna |0| odpowiada również za proponowanie i uchwalanie ustaw., Генеральны савет |0| таксама адказвае за прапанову і прыняцце законаў., Генеральна рада |0| також відповідає за пропозицію та ухвалення законів., Генералният съвет |0| също така отговаря за предлагането и приемането на закони., Razširjeni svet |0| je odgovoren tudi za predlaganje in sprejemanje zakonov., Generální rada |0| je také zodpovědný za navrhování a přijímání zákonů.
6, The Supreme |0|  Court |0|  hears civil appeals and may in its discretion hear criminal appeals., Верховный |0| Суд |0| рассматривает гражданские апелляции и может по своему усмотрению рассматривать уголовные апелляции., Najwyższy |0| Sąd |0| rozpatruje apelacje cywilne i może według własnego uznania rozpatrywać apelacje w sprawach karnych., Вярхоўны |0| Суд |0| разглядае грамадзянскія скаргі і можа па сваім меркаванні разглядаць крымінальныя скаргі., Верховний |0| Суд |0| розглядає цивільні скарги та може на свій розсуд розглядати кримінальні скарги., Върховният |0| Съд |0| разглежда граждански жалби и може по свое усмотрение да разглежда наказателни жалби., Najvišji |0| Sodišče |0| obravnava civilne pritožbe in lahko po lastni presoji obravnava kazenske pritožbe., Nejvyšší |0| Soud |0| projednává občanskoprávní odvolání a může podle svého uvážení projednávat trestní odvolání.
7," The Anchorage |0|  Opera |0|  is currently the state 's only professional opera company, though there are several volunteer and semi-professional organizations in the state as well."," Анкоридж |0| Опера |0| в настоящее время является единственной профессиональной оперной труппой в штате, хотя в штате также есть несколько волонтерских и полупрофессиональных организаций."," Kotwicowisko |0| Opera |0| jest obecnie jedyną profesjonalną firmą operową w stanie, chociaż istnieje również kilka organizacji ochotniczych i półprofesjonalnych w stanie."," Анкорыдж |0| Opera |0| у цяперашні час з'яўляецца адзінай прафесійнай опернай трупай у штаце, хоць у штаце таксама існуе некалькі валанцёрскіх і паўпрафесійных арганізацый."," Анкорідж |0| Opera |0| наразі є єдиною професійною оперною трупою в штаті, хоча в штаті також є кілька волонтерських і напівпрофесійних організацій."," Анкоридж |0| Opera |0| в момента е единствената професионална оперна трупа в щата, въпреки че в щата също има няколко доброволчески и полупрофесионални организации."," Sidrišče |0| Opera |0| je trenutno edina profesionalna operna družba v državi, čeprav je v državi tudi več prostovoljskih in polprofesionalnih organizacij."," The Anchorage |0| Opera |0| je v současnosti jedinou profesionální operní společností ve státě, i když ve státě působí také několik dobrovolníků a poloprofesionálních organizací."
8," While there has been some research on sustainability using GMO crops, at least one hyped and prominent multi-year attempt by Monsanto |0|  Company |0|  has been unsuccessful, though during the same period traditional breeding techniques yielded a more sustainable variety of the same crop."," Несмотря на то, что были проведены некоторые исследования устойчивости с использованием ГМО-культур, по крайней мере, одна разрекламированная и заметная многолетняя попытка Monsanto |0| Компания |0| не увенчались успехом, хотя в тот же период традиционные методы селекции дали более устойчивый сорт той же культуры."," Chociaż przeprowadzono pewne badania nad zrównoważonym wykorzystaniem upraw GMO, co najmniej jedna ekscytująca i znacząca wieloletnia próba Monsanto |0| Firma |0| zakończyła się niepowodzeniem, chociaż w tym samym okresie tradycyjne techniki hodowli przyniosły bardziej zrównoważoną odmianę tej samej uprawy."," Нягледзячы на ​​тое, што былі праведзены некаторыя даследаванні ўстойлівага развіцця з выкарыстаннем ГМА-культур, прынамсі адна размаляваная і значная шматгадовая спроба Monsanto |0| Кампанія |0| было няўдалым, хоць у той жа перыяд традыцыйныя метады селекцыі далі больш устойлівы гатунак той жа культуры."," Хоча були проведені деякі дослідження щодо стійкості використання ГМО-культур, принаймні одна розкручена та помітна багаторічна спроба Monsanto |0| Компанія |0| було невдалим, хоча протягом того ж періоду традиційні методи селекції дали більш стійкий сорт тієї ж культури."," Въпреки че има някои изследвания относно устойчивостта с използване на ГМО култури, поне един разгласен и забележителен многогодишен опит на Monsanto |0| Фирма |0| е неуспешно, въпреки че през същия период традиционните техники за размножаване са довели до по-устойчиво разнообразие от същата култура."," Čeprav je bilo nekaj raziskav o trajnosti z uporabo gensko spremenjenih pridelkov, je vsaj en razmahnjen in pomemben večletni poskus Monsanta |0| Podjetje |0| je bil neuspešen, čeprav so v istem obdobju tradicionalne tehnike vzreje dale bolj trajnostno sorto istega pridelka."," I když byl proveden určitý výzkum udržitelnosti pomocí GMO plodin, alespoň jeden medializovaný a prominentní víceletý pokus společnosti Monsanto |0| Společnost |0| byl neúspěšný, ačkoli ve stejném období tradiční šlechtitelské techniky přinesly udržitelnější odrůdu stejné plodiny."
9," ANSI |0|  accredits standards that are developed by representatives of standards developing organizations, government agencies, consumer groups, companies, and others."," АНСИ |0| аккредитует стандарты, разработанные представителями организаций по разработке стандартов, государственных учреждений, групп потребителей, компаний и других."," ANSI |0| akredytuje normy opracowane przez przedstawicieli organizacji opracowujących normy, agencji rządowych, grup konsumenckich, firm i innych."," ANSI |0| акрэдытуе стандарты, якія распрацоўваюцца прадстаўнікамі арганізацый, якія распрацоўваюць стандарты, дзяржаўных органаў, груп спажыўцоў, кампаній і інш."," ANSI |0| акредитує стандарти, які розробляються представниками організацій, що розробляють стандарти, державних установ, груп споживачів, компаній та ін."," ANSI |0| акредитира стандарти, които са разработени от представители на организации, разработващи стандарти, правителствени агенции, потребителски групи, компании и други."," ANSI |0| akreditira standarde, ki jih razvijajo predstavniki organizacij, ki razvijajo standarde, vladnih agencij, skupin potrošnikov, podjetij in drugih."," ANSI |0| akredituje standardy, které jsou vyvinuty zástupci organizací vyvíjejících standardy, vládními agenturami, spotřebitelskými skupinami, společnostmi a dalšími."
