,pl,be,uk,ru,bg,sl,cs,en
0,Anthony Eden,Энтані Ідэн,Ентоні Іден,Энтони Иден,Антъни Идън,Anthony Eden,Anthony Eden,Anthony Eden
1,Filippo Inzaghi,Філіпа Індзагі,Філіппо Індзагі,Филиппо Индзаги,Филипо Индзаги,Filippo Inzaghi,Filippo Inzaghi,Filippo Inzaghi
2,Arthur Wellesley ,А. Велінгтан,Артур Веллслі,Артур Веллингтон,Артър Уелсли,Arthur Wellesley,Arthur Wellesley,Arthur Wellesley
3,Abbas I Wielki,Абас I Вялікі,Аббас I Великий,Аббас I Великий,Абас I Велики,Abas I. Veliki,Abbás I. Veliký,Abbas the Great
4,Agapit I,Агапій I ,Агапіт I,Агапит I,Агапет I,Papež Agapit I,Agapetus I,Pope Agapetus I
5,John Adams,Джон Адамс,Джон Адамс,Джон Адамс,Джон Адамс,John Adams,John Adams,John Adams
6,John Quincy Adams,Джон Квінсі Адамс,Квінсі Джон,Джон Адамс,Джон Куинси Адамс,John Quincy Adams,John Quincy Adams,John Quincy Adams
7,José Leandro Andrade,Хасэ Леандра Андрадэ,Леандро Хосе,Хосе Андраде,Хосе Андраде,José Leandro Andrade,José Andrade,José Leandro Andrade
8,Thierry Henry,Цьеры Анры,Тьєррі Анрі,Тьерри Анри,Тиери Анри,Thierry Henry,Thierry Henry,Thierry Henry
9,Chester Arthur,Чэстэр Алан Артур,Алан Честер,Честер Артур,Честър Артър,Chester Alan Arthur,Chester A. Arthur,Chester A. Arthur
10,Klaus Augenthaler,Клаўс Аўгенталер,Клаус Аугенталер,Клаус Аугенталер,Клаус Аугенталер,Klaus Augenthaler,Klaus Augenthaler,Klaus Augenthaler
11,Uwe Bein,Увэ Байн,Уве Байн,Уве Байн,Уве Байн,Uwe Bein,Uwe Bein,Uwe Bein
12,Bonifacy II,Баніфацый II ,Боніфацій II,Бонифаций II,Бонифаций II,Bonifacij II,Bonifác II,Pope Boniface II
13,Andrea Barzagli,Андрэа Бардзальі,Андреа Барцальї,Андреа Бардзальи,Андреа Бардзали,Andrea Barzagli,Andrea Barzagli,Andrea Barzagli
14,Bebeto,Бебету,Бебето,Бебето,Бебето,Bebeto,Bebeto,Bebeto
15,Benedykt XVI,Бенедыкт XVI,Бенедикт XVI,Бенедикт XVI,Бенедикт XVI,Papež Benedikt XVI,Benedikt XVI,Pope Benedict XVI
16,Benedykt XV,Бенедыкт XV,Бенедикт XV,Бенедикт XV,Бенедикт XV,Papež Benedikt XV,Benedikt XV,Pope Benedict XV
17,Leonard Bernstein,Леанард Бернстайн,Леонард Бернстайн,Леонард Бернстайн,Ленард Бърнстейн,Leonard Bernstein,Leonard Bernstein,Leonard Bernstein
18,Tony Blair,Тоні Блэр,Тоні Блер,Тони Блэр,Тони Блеър,Tony Blair,Tony Blair,Tony Blair
19,Paul Breitner,Паўль Брайтнер,Пауль Брайтнер,Пауль Брайтнер,Паул Брайтнер,Paul Breitner,Paul Breitner,Paul Breitner
20,Gianluigi Buffon,Джанлуіджы Буфон,Джанлуїджі Буффон,Джанлуиджи Буффон,Джанлуиджи Буфон,Gianluigi Buffon,Gianluigi Buffon,Gianluigi Buffon
