,entity,number,gender
0,Беллесрад,,
1,Усесаюзны цэнтральны савет прафесійных саюзаў,Sing,Masc
2,Федэрацыя прафсаюзаў Украіны,Sing,Masc
3,ФІБА Еўропа,Sing,Fem
4,Брытанская акадэмія,Sing,Fem
5,Більдэрбергскі клуб,Sing,Masc
6,Белыя каскі,Plur,Masc
7,Амстэрдамскі інтэрнацыянал прафсаюзаў,Sing,Masc
8,Міжнародны паралімпійскі камітэт,Sing,Masc
9,Упраўленне Вярхоўнага камісара Арганізацыі Аб’яднаных Нацый па справах бежанцаў,Sing,Neut
10,Дзедзіч,,
11,Аршанскі каледж Беларускага дзяржаўнага ўніверсітэта транспарту,Sing,Masc
12,Аль-Аўда,,
13,Бюро перапісу насельніцтва ЗША,Sing,
14,Беларускі ПЭН-цэнтр,,
15,Віцебская губернская вучоная архіўная камісія,Sing,Fem
16,Амерыканскае фізічнае таварыства,Sing,Neut
17,Арганізацыя вызвалення Палесціны,Sing,Neut
18,Беларуская рэспубліканская піянерская арганізацыя,Sing,Fem
19,Беларускі кангрэс дэмакратычных прафсаюзаў,Sing,Masc
20,Цэнтр Пяцідзясятніцкага Руху,Sing,Masc
21,Voices from Belarus,,
22,Брытанская алімпійская асацыяцыя,Sing,Fem
23,Нацыянальнае таварыства кінакрытыкаў ЗША,Plur,Masc
24,Міжнародны транспартны форум,Plur,
25,Арганізацыя Дагавора аб калектыўнай бяспецы,Sing,Neut
26,За Свабоду (рух),Plur,Fem
27,Міністэрства абароны ЗША,Sing,Neut
28,Цэнтральнаўкраінскі нацыянальны тэхнічны ўніверсітэт,Sing,Masc
29,Спеўны Сход,Sing,Masc
30,Аршанскі дзяржаўны прафесійны ліцэй тэкстыльшчыкаў імя Г. В.,Plur,Masc
31,Сямёнава,Sing,Neut
32,Беларуская вайсковая камісія па арганізацыі беларускіх вайсковых часцей на Румынскім фронце,Sing,Fem
33,BYPOL,,
34,Чырвоны інтэрнацыянал прафсаюзаў,Sing,Masc
35,Сусветная арганізацыя інтэлектуальнай уласнасці,Sing,Fem
36,Узвышша (літаратурнае аб’яднанне),Sing,
37,Рэспубліканскі савет па гістарычнай палітыцы,Sing,Masc
38,Commerzbank,,
39,Беластоцкі політэхнічны ўніверсітэт,Sing,Masc
40,Алімпійскі камітэт Швецыі,Sing,Masc
41,Беларуская федэрацыя бадмінтона,,
42,Саюз беларускіх яўрэйскіх грамадскіх аб’яднанняў і абшчын,Plur,Masc
43,Прызрэнская ліга,Sing,Fem
44,Беларускае аб’яднанне ў Вікторыі,Sing,Neut
45,Мова нанова дзеткам,Sing,Masc
46,Шаўляйскі дзяржаўны каледж,Plur,Masc
47,Арганізацыя Аб’яднаных Нацый,Plur,Fem
48,Урачы без межаў,Plur,Masc
49,Міжнародны саюз веласіпедыстаў,Sing,Masc
50,Альтэрнатыўны сінод Балгарскай праваслаўнай царквы,Sing,Masc
51,Нацыянальны алімпійскі камітэт Украіны,Sing,Masc
52,Рэвалюцыйнае дзеянне,Sing,Neut
53,Моладзевыя атрады аховы правапарадку,Sing,Masc
54,Міжнародная федэрацыя баскетбола,Sing,Fem
55,Сараеўскі ўніверсітэт,Sing,Masc
56,Інстытут ільну Акадэміі навук Беларусі,Sing,Fem
57,Альянс юных патрыётаў за нацыянальны ўздым,Sing,Neut
58,За дэмакратычныя выбары,Plur,Masc
59,В’етмінь,Sing,Fem
60,Фундацыя імя Пётры Крэчэўскага,Sing,Masc
61,Усебеларускае таварыства бібліяфілаў,Sing,Neut
62,Ісламская дзяржава Ірак,,
63,Ананімны інтэрнацыянал,Sing,Masc
64,Нацыянальны алімпійскі камітэт Рэспублікі Малдова,Sing,Fem
65,Квадратура Сеціва (арганізацыя),Sing,Fem
66,Рэвалюцыйная брыгада 1920,,
67,"Цэнтр даследаванняў беларускай культуры, мовы і літаратуры",Sing,Masc
68,Арганізацыя амерыканскіх дзяржаў,Plur,Masc
69,Bank of America,Sing,Fem
70,Фонд эканамічнай незалежнасці (Славакія),Sing,Fem
71,Алімпійскі камітэт ЗША,Sing,Neut
72,Асацыяцыя кінакампаній,Sing,Fem
73,Міжнародная кампанія за забарону ядзернай зброі,Sing,Fem
74,Акадэмія албаналагічных даследаванняў,Plur,Masc
75,Саюз беларускіх патрыётаў,Plur,Masc
76,Саюз рускай моладзі,Sing,Fem
77,Балгарская фондавая біржа — Сафія,Sing,Fem
78,Логвінаў,Sing,Masc
79,КАНКАКАФ,Sing,Masc
80,Камуністычнае інфармацыйнае бюро,,
81,Беларускае згуртаванне вайскоўцаў,Sing,Neut
82,Саюз барацьбы за свабодную Беларусь,Plur,Fem
83,Алімпійскі камітэт Славеніі,Sing,Masc
84,Саюз супольнай справы,Sing,Fem
85,Yikono,Sing,Fem
86,Цэнтральная беларуская вайсковая рада,Sing,Fem
87,Нацыянальны навукова-асветніцкі цэнтр імя Францыска Скарыны,Sing,Masc
88,Іракская фондавая біржа,Sing,Fem
89,Міжнародны праект «Дзецям Чарнобыля»,Sing,Neut
90,Шатландская нацыянальная партыя,Sing,Fem
91,Праваабарончы цэнтр «Вясна»,Sing,Masc
92,Кола кінакрытыкаў Нью-Ёрка,Sing,Fem
93,Вышаградская група,Sing,Fem
94,Асацыяцыя беларускіх банкаў,Plur,Masc
95,American Medical Association,Sing,Fem
96,Урачы свету за прадухіленне ядзернай вайны,Sing,Masc
97,Сусветная гандлёвая арганізацыя,Sing,Fem
98,Black Lives Matter,,
99,Статут Арганізацыі Аб’яднаных Нацый,Sing,Fem
100,Маці з плошчы Мая,,
101,Цэнтр банкаўскіх тэхналогій,Sing,Masc
102,Мядзельска-смаргонскае антыкамуністычнае падполле (1947),Sing,
103,Кола беларускіх студэнтаў у Кракаве,Sing,Fem
104,Алімпійскі камітэт Паўночнай Македоніі,Sing,Masc
105,Домавіна (выдавецтва),Sing,Fem
106,Армія Махдзі,Sing,Masc
107,ISO,Sing,Fem
108,Міжнародная федэрацыя настольнага тэніса,Sing,Masc
109,MONUSCO,Sing,Fem
110,Сыны Ірака,Sing,Neut
111,Адзіная кніга рэгістрацыі злачынстваў,Sing,Fem
112,Асацыяцыя самадапамогі Меха і Тулама,,
113,Ліга арабскіх дзяржаў,Sing,Fem
114,Баявая ўскалось,Sing,Masc
115,Лёзненскі лясгас,Sing,Masc
116,Баня-Лукская фондавая біржа,Sing,Fem
117,Швейцарская біржа,Sing,Fem
118,Сеўрская фарфоравая мануфактура,Sing,Fem
119,Інстытут лесу НАН Беларусі,Sing,
120,Амерыканская акадэмія мастацтваў і навук,Plur,Masc
121,Беларуская федэрацыя плавання,Sing,Fem
122,Панявежыскі каледж,,
123,UN Watch,Sing,Fem
124,Ліберальны клуб,Sing,Masc
125,Германскі працоўны фронт,Sing,Masc
126,Аб’яднаны фронт вызвалення прыгнечаных народаў,Sing,Masc
127,Міністэрства інфармацыі Рэспублікі Беларусь,Sing,Fem
128,Гітлерюгенд,,
129,Беларускі дзяржаўны архіў-музей літаратуры і мастацтва,Sing,Masc
130,Беларускі Хельсінкскі камітэт,Sing,Masc
131,Міжнародная федэрацыя хакея на траве,Sing,Fem
132,2-е Пухавіцкае благачынне,Sing,
133,Садружнасць Развіцця краін Паўднёвай Афрыкі,Sing,Fem
134,Асацыяцыя лізінгадаўцаў,Sing,Masc
135,1-е Пухавіцкае благачынне,Sing,
136,Дэпартамент паліцыі міністэрства ўнутраных спраў Літоўскай Рэспублікі,Sing,Masc
137,Саюз пісьменнікаў Беларусі (2005),Plur,Masc
138,Біблейскае таварыства ў Рэспубліцы Беларусь,Sing,Fem
139,Бабруйскі настаўніцкі інстытут,Sing,Masc
140,Акадэмія мастацтваў і тэхналогій кінематографа,Plur,Masc
141,Беларуская вайсковая камісія,Sing,Fem
142,Партыя свабоды рускага народа,Sing,Masc
143,Інстытут радыяцыйнай бяспекі «Белрад»,Sing,Fem
144,Стакгольмскі інстытут даследавання праблем міру,Sing,
145,Віленскае таварыства сяброў навук,Sing,Masc
146,Федэрацыя незалежных прафсаюзаў Расіі,Sing,Fem
147,Асамблея няўрадавых дэмакратычных арганізацый,Plur,Fem
148,Сусветная ветэрынарная асацыяцыя,Sing,Fem
149,Пачатковая школа,Sing,Fem
150,Джамаат Ансар аль-Суна,Sing,Fem
151,Міжнародны геаграфічны саюз,Sing,Masc
152,KfW,,
153,Каардынацыйны цэнтр антыбальшавіцкай барацьбы,Sing,Masc
154,Беларуская федэрацыя гандбола,Sing,Fem
