,entity,number,gender
0,София Мел,Sing,Fem
1,Меркосур,Sing,Masc
2,NHK,Sing,Masc
3,Национален център за рехабилитация на слепи,Sing,Masc
4,ДСО Българско пиво,Sing,Neut
5,Прокудени от бащин край,Sing,Masc
6,Първична сила,Sing,Fem
7,Босилеград (радио),Sing,Masc
8,Европейска музикална телевизия,Sing,Fem
9,Демо (телевизия),Sing,Neut
10,Алфа-банк,,
11,Бумеранг (ТВ канал),Sing,Masc
12,ВЕЦ „Батак“,Sing,Masc
13,Ди Екс Си Текнолъджи,,
14,Гомон,Sing,Masc
15,Късно вечер с Конан О'Брайън,Sing,Fem
16,БНТ 4,Sing,Fem
17,Ивеко,Plur,
18,BlackRock,Sing,Masc
19,Нидерландска западноиндийска компания,Sing,Fem
20,Ferrovial,Sing,Masc
21,9gag,Sing,Masc
22,Nostalgia,Sing,Masc
23,Базелски комитет за банков надзор,Sing,Masc
24,Асоциация за регионално сътрудничество в Южна Азия,Sing,Fem
25,Уинд Телекомуникациони,Sing,Masc
26,Сторител,Sing,Masc
27,Книгоиздателство „Стоян Ст.,Sing,Neut
28,Атанасов“,Sing,Masc
29,Клуб,Sing,Masc
30,Мед,,
31,Международна банка за икономическо сътрудничество,Sing,Fem
32,Ей Би Ес-Си Би Ен,Sing,Masc
33,Син щит Интернешънъл,Sing,Masc
34,Национална и университетска библиотека на Босна и Херцеговина,Sing,Fem
35,Гевгелийско благотворително братство,Sing,Neut
36,Марица (хотел),Sing,Fem
37,Сграда на Стопанска банка (Битоля),Sing,Fem
38,Marriott International,Sing,Masc
39,Фокс,Sing,Masc
40,Световна банка,Sing,Fem
41,ЮНЕСКО,Plur,
42,BMC (Турция),Sing,Masc
43,Булгаргаз,Sing,
44,Феронор,Sing,Masc
45,ATV,Sing,Masc
46,Български корабен регистър,Sing,Masc
47,The CW Television Network,Sing,Masc
48,Стойчев (телевизия),Sing,Masc
49,Ретише Бан,Sing,
50,Алдо Груп,Sing,Masc
51,Форум на тихоокеанските острови,Sing,Masc
52,Асарел-Медет,,
53,Пощенска банка,Sing,Fem
54,Дойче банк,Sing,Masc
55,Крушевска автономна група,Sing,Fem
56,Барклейс,Sing,Masc
57,Чипровско католическо училище,Sing,Neut
58,Съюз на българите фашисти,Sing,Masc
59,Софийска декларация (1929),Sing,Fem
60,Свети Михаил (колеж във Варна),Sing,Masc
61,БГ+,,
62,Алпина,Plur,
63,Енергоремонт-Варна,Sing,Fem
64,The Amazing Race,Sing,Masc
65,Дом на инвалидите,,
66,ТВ,,
67,СТЗ,,
68,Otokar,Sing,Masc
69,Инициатива,Sing,Fem
70,„Три морета“,Sing,Masc
71,Еър Канада,Sing,Fem
72,Китайска нефтохимическа корпорация,Sing,Fem
73,СО МАТ,Plur,
74,Костурско благотворително братство,Sing,Neut
75,ЕВРОСАЙ,,
76,Витта Фуудс,Sing,Fem
77,Легион „Христо Ботев“,Sing,Masc
78,Български пощи,Ptan,
79,Издателство,Sing,Neut
80,Новартис,,
81,Българска музикална компания,Sing,Fem
82,Масимо Дути,Plur,Masc
83,155 основно училище „Св. Св. Кирил и Методий“,Sing,Neut
84,Г-7,Plur,
85,Българска земеделска банка,Sing,Fem
86,Роял Дъч Шел,Sing,Masc
87,Париба,Sing,Fem
88,Провадсол,Sing,Masc
89,Ей Би Си,Sing,
90,Международна федерация на спедиторските сдружения,Sing,Fem
91,Пивоварна Павлово,Sing,
92,Компак,,
93,Леонидас (шоколад),Sing,Masc
94,Сауди Арамко,Sing,Masc
95,Литекс Моторс,Sing,Masc
96,Стопанска банка,Sing,Fem
97,- Скопие,Sing,Neut
98,ТОА,Sing,Masc
99,Национална асоциация на сляпо-глухите в България,Sing,Fem
100,Читалище,,
101,Космо България Мобайл,Sing,Fem
102,СОТ 161,Plur,
103,Новокузнецки металургичен комбинат,Sing,Masc
104,Dimps,,
105,Декатлон,Sing,Masc
106,Карман (компания),,
107,Шкода,Sing,Fem
108,Ауто,Sing,Masc
109,Институт Милтън Фридман,Sing,Masc
110,Елма (предприятие),Sing,Masc
111,Синемакс,Sing,Masc
112,Тръмп Интернешънъл Хотел енд Тауър (Торонто),Sing,Masc
113,Жълто училище,Sing,Neut
114,Марвел Комикс,Sing,Masc
115,Демократична лига за защита правата на човека в България,Sing,Fem
116,СААБ (автомобилен производител),Sing,Masc
117,CA Technologies,Sing,Masc
118,Американска икономическа асоциация,Sing,Fem
119,Световен еврейски съюз,Sing,Masc
120,Ти Ди Кей (компания),Sing,
121,Национална библиотека на Албания,Sing,Fem
122,Банка на Федералния резерв,Sing,Fem
123,Телевизия,Sing,Fem
124,Туризъм,Sing,Masc
125,Франкфуртска фондова борса,Sing,Fem
126,Украйна 24,Sing,Fem
127,Мандарин (компания),Sing,Fem
128,Джак Волфскин,Sing,Masc
129,Еквус Арт,Sing,Masc
130,Висша стрелкова тактическа школа,Sing,Fem
