,entity,number,gender
0,SEATO,Sing,Neut
1,Société Bic,Plur,Masc
2,Vlajka (hnutí),Sing,Fem
3,Linie (umělecké sdružení),Sing,Fem
4,Harmonia Mundi,Sing,Fem
5,MG Cars,Sing,Masc
6,Itala (automobilka),Sing,Masc
7,Seagate,Sing,
8,Calijský kartel,Sing,Masc
9,Th. Schneider,Sing,Masc
10,Drexel Burnham Lambert,Sing,Masc
11,Degel ha-Tora,Sing,
12,Zeleni Slovenije,Sing,Fem
13,China Southern Airlines,Plur,Fem
14,META (podnik),Sing,Fem
15,Philips Records,Plur,Masc
16,Polská národní banka,Sing,Fem
17,RIAS,,
18,Strana Šípových křížů,Sing,Fem
19,Brněnská společnost místních drah,Sing,Fem
20,Umeå Energi,Sing,Masc
21,Kaldyčeŭský koncentrační tábor,Sing,Masc
22,Moderní opereta,Sing,Fem
23,Komunistická strana Čech a Moravy,Sing,Fem
24,Front homosexuel d'action révolutionnaire,Sing,Masc
25,Argor-Heraeus,Sing,Masc
26,Nová Akropolis,Sing,Fem
27,Pakistan International Airlines,Plur,Fem
28,Italská komunistická strana,Sing,Fem
29,Microsoft,Sing,Masc
30,Křesťanskodemokratická unie,Sing,Fem
31,HAG Modelleisenbahnen,Sing,Masc
32,IGW,,
33,Komise biskupských konferencí Evropské unie,Sing,Fem
34,Liberálně demokratická strana (Japonsko),Sing,Fem
35,Ford Motor Company,,Fem
36,Comic Relief,Sing,Masc
37,Lutte ouvrière,Sing,Masc
38,Konzervativní strana (Norsko),Sing,Fem
39,Muslimská národní organizace,Sing,Fem
40,Evropská federace asociací studentů psychologie,Sing,Fem
41,Amkodor,Sing,Masc
42,Oriflame,,
43,Evropské společenství pro atomovou energii,Sing,Neut
44,Krymská astrofyzikální observatoř,Sing,Fem
45,ČKD,,Neut
46,Bugatti,Sing,Masc
47,Zajatecký tábor Josefov,Sing,Masc
48,FOS Open Scouting,Sing,Masc
49,Nash Motors,Plur,Masc
50,Oceania Football Confederation,Sing,Fem
51,Cyrix,Sing,Masc
52,Palivový kombinát Ústí,Sing,Masc
53,Albánská strana práce,Sing,Fem
54,Garda Síochána,Plur,"Fem,Neut"
55,Komunistická strana Indonésie,Sing,Fem
56,"Švédská federace za práva leseb, gayů, bisexuálů a translidí",Sing,Fem
57,Charita Lovosice,Sing,Fem
58,Euroflag,Sing,Masc
59,Arménská eparchie Adana,Sing,Fem
60,Caterham (automobilka),Sing,Masc
61,Diecéze Amaura,,
62,Bytíz (pracovní tábor),Sing,Masc
63,Financial Action Task Force,,
64,Pěvecké sdružení pražských učitelek,Sing,Neut
65,Bombardier Recreational Products,Sing,Masc
66,Státní památková správa,Sing,Fem
67,Rada církví Blízkého východu,Sing,Fem
68,Parti radical valoisien,Sing,Masc
69,Liberální strana Austrálie,Sing,Fem
70,Jugoslávská fotbalová reprezentace,Sing,Fem
71,Židovská konzervativní strana,Sing,Fem
72,Hugo Freund & Co,Sing,Masc
73,Sbor pověřenců 18. září 1945 – 16. srpna 1946,Sing,Masc
74,Zemědělská strana,Sing,Fem
75,Republikánská lidová strana,Sing,Fem
76,Knorr-Bremse,,
77,Gulf Oil Corporation,Sing,Masc
78,Interfax,Sing,Masc
79,BMA,Sing,Fem
80,Křesťanskodemokratická výzva,Sing,Fem
81,Československý spisovatel,Sing,Masc
82,Rodobrana,Sing,Fem
83,Evropská baptistická federace,Sing,Fem
84,Diecéze Albulæ,,
85,Mezinárodní unie pro čistou a aplikovanou fyziku,Sing,Fem
86,Cherut,Sing,Masc
87,NortonLifeLock,Sing,Masc
88,Fialová legie,Sing,Fem
89,Demokratická unie tožského lidu,Sing,Fem
90,Ženijní skupina 21 Bratislava,Sing,Fem
91,Association française pour l'information scientifique,,Masc
92,SWIFT,Sing,Masc
93,Nacionálně činná strana,Sing,Fem
94,Národní centrum kosmického výzkumu,Sing,Neut
95,Federální úřad pro vyšetřování,Sing,Masc
96,SA Mathis,,
97,Finský střed,Sing,Masc
98,Naše vojsko,Sing,Neut
99,Ústav jaderné fyziky Akademie věd České republiky,Sing,Masc
100,Hamás,Sing,Masc
101,Casalini,Sing,Masc
102,Expeditors International,Sing,Masc
103,"F. Přibík, Březhrad u Hradce Králové, úpravna usní",,Masc
104,Janáčkova filharmonie Ostrava,Sing,Fem
105,Aston Martin,Sing,Masc
106,Falcon Mimoň,Sing,Masc
107,Island Records,Plur,Masc
108,Kresťanskodemokratické hnutie,Plur,Fem
109,Føroyski Javnaðarflokkurin,Sing,Masc
110,Jugoslavenska radiotelevizija,Plur,Neut
111,Sinaloa (kartel),Sing,Masc
112,Německá asociace skautů svatého Jiří,Sing,Fem
113,Saab,Sing,Masc
114,Fjällräven,Sing,Masc
115,Zott,Sing,Masc
116,Unijazz,Sing,Masc
117,Diecéze Ampora,,
118,Computer Consoles Inc.,Sing,Masc
119,Hnutí skautů a skautek Belgie,Sing,Neut
120,Lidová strana pro svobodu a demokracii,Sing,Fem
121,Baas,Sing,Masc
122,Tichomořská konference církví,Sing,Fem
123,Svaz požární ochrany,Sing,Masc
124,Zoo Hluboká,Sing,Fem
125,Světlá stezka,Sing,Fem
126,Sovětská fotbalová reprezentace,Sing,Fem
127,Coimbra Group,Sing,Fem
128,Mezinárodní florbalová federace,Sing,Fem
129,SanDisk,Sing,Masc
130,Nature's Sunshine Products,,Masc
131,Agrární strana (1990–2007),Sing,Fem
132,Švýcarská strana práce,Sing,Fem
133,ChessBase,,
