,entity,number,gender
0,Fundacja Świętego Józefa Konferencji Episkopatu Polski,Sing,Fem
1,Amerykańska Akademia Pediatryczna,Sing,Fem
2,Fundacja Ulicy Piotrkowskiej,Sing,Fem
3,Polonia Warszawa,Sing,Fem
4,Brandon Wheat Kings,Sing,Masc
5,JHT Kalajoki,Sing,Masc
6,Fundacja na rzecz Kultury Żywej „Białe Gawrony”,Sing,Fem
7,Zofia Hajkowicz-Brodzikowska,Sing,Fem
8,Komitet Narodowy Amerykanów Polskiego Pochodzenia,Sing,
9,Regina Pats,Sing,Fem
10,HC Pustertal–Val Pusteria,Sing,Masc
11,AZS Kolegium Karkonoskie Jelenia Góra,Sing,Neut
12,Polskie Towarzystwo Pediatryczne,Sing,Neut
13,Krywbas Krzywy Róg,Sing,Masc
14,HK Dukla Trenczyn,Sing,Masc
15,Rapid City Rush,Sing,Masc
16,Fundacja Instytut Edukacji Ekonomicznej im.,Sing,Fem
17,Ludwiga von Misesa,Sing,Fem
18,Akcja Menstruacja,Sing,Fem
19,Resovia,Sing,Fem
20,ŠHK 37 Piešťany,Sing,Masc
21,Lauda,Sing,Fem
22,Dniprowśki Wowky Dniepropetrowsk,Sing,Masc
23,Espoo United,,
24,JKS Jarosław,Sing,Masc
25,Budiwelnyk Kijów,Sing,Masc
26,Miecze Hallerowskie,Plur,Fem
27,New York Neurological Society,Sing,Masc
28,IK Comet,Sing,Masc
29,Fundacja TVN,Sing,Fem
30,HK Spišská Nová Ves,Sing,Masc
31,Spójnia Stargard,Sing,Masc
32,Djurgårdens IF Dam,Sing,Masc
33,Tampereen Ilves,Sing,Masc
34,ERC Ingolstadt,Sing,Masc
35,Chicago Stags,Sing,Neut
36,Instytut Medyczny Howarda Hughesa,Sing,Masc
37,HC 07 Detva,Sing,Masc
38,Fundacja TRES,Sing,Fem
39,Peristeri BC,Sing,
40,Fundacja „Polsko-Niemieckie Pojednanie”,Sing,Fem
41,Arena Kijów,Sing,Masc
42,Jugra Chanty-Mansyjsk,Sing,Masc
43,Instytut Energetyki Odnawialnej,Sing,Masc
44,Fundacja Mozilla,Sing,Fem
45,Pensacola Ice Pilots,Sing,Fem
46,Hospicjum Onkologiczne Świętego Krzysztofa,Sing,Neut
47,Fundacja Rozwoju Matematyki Rekreacyjnej Sfinks,Sing,Fem
48,AZS PSW Biała Podlaska,Sing,Fem
49,Fundacja im.,Sing,
50,Friedricha Naumanna,Sing,Fem
51,Luleå HF,Sing,Masc
52,Young-Sprinters HC,Sing,Masc
53,Związek Walki Wyzwoleńczej,Sing,Masc
54,Asplöven HC,Sing,Masc
55,Fundacja Wolnej Myśli,Sing,
56,Spartak Moskwa,Sing,Masc
57,Polsko-Amerykańska Fundacja Edukacji i Rozwoju Ekonomicznego,Sing,Fem
58,Dynama Mińsk,Sing,Fem
59,HC Lev Praga,Sing,Masc
60,KS Open Basket Pleszew,Sing,Neut
61,Związek Młodzieży Polskiej „Grunwald”,Sing,Masc
62,Linköping HC,Sing,Masc
63,Obradoiro CAB,,
64,The Scripps Research Institute,Sing,Masc
65,KK Dubrovnik,Sing,Masc
66,MUKS Praga Warszawa,Sing,Masc
67,KS Toruń HSA,Sing,Masc
68,Polskie Towarzystwo Ortopedyczne i Traumatologiczne,Sing,Neut
69,AZS Koszalin,Sing,Masc
70,Adirondack Phantoms,Sing,Masc
71,Dinamo Ryga,Sing,Masc
72,1.,Sing,Masc
73,FFC Frankfurt,Sing,Masc
74,Skra Częstochowa,Sing,Fem
75,MKK Pyra Poznań,Sing,Masc
76,KSK Noteć Inowrocław,,
77,Pollingua,Sing,Fem
78,HK Sarow,Sing,Masc
79,CPOR Donieck,Sing,Masc
80,Varsovia Warszawa,Sing,Fem
81,Fundacja Ochrony Dziedzictwa Żydowskiego,Sing,Fem
82,Nashville Predators,Sing,Neut
83,Poltransplant,Sing,Masc
84,Concilium Civitas,,
85,Oulun Kärpät,Sing,Masc
86,Helsińska Fundacja Praw Człowieka,Sing,Fem
