,entity,number,gender
0,Болгарская рабочая социал-демократическая партия (тесных социалистов),Sing,Fem
1,Национальная прогрессивная партия,Sing,Fem
2,Правительство при главнокомандующем ВСЮР,Sing,Neut
3,Афинское археологическое общество,Sing,Neut
4,Немецкая христианско-социальная народная партия,Sing,Fem
5,Николаевская областная универсальная научная библиотека,Sing,Fem
6,Штаб Добровольческой армии Московского района,Plur,Fem
7,Всероссийский нефтяной научно-исследовательский геологоразведочный институт,Plur,
8,Общество Красного Полумесяца Исламской Республики Иран,Sing,Masc
9,Библиотека департамента Реюньон,Sing,Fem
10,Калужский областной драматический театр,Sing,Masc
11,Сиамское общество,Sing,Neut
12,Общество памяти декабристов,Sing,Fem
13,"Дервиш, Кемаль",Sing,Masc
14,Национальный академический драматический театр имени Якуба Коласа,Sing,Masc
15,Саксонская академия наук,Sing,Fem
16,Партия Колорадо (Парагвай),,
17,Общество московских художников,Sing,Neut
18,Уральский русский драматический театр имени А.,,
19,Н. Островского,Sing,Masc
20,Общество взаимного кредита,Sing,Neut
21,Лига Наций,Sing,Masc
22,Королевское географическое общество,Sing,Neut
23,Фондовая биржа Рио-де-Жанейро,Sing,Fem
24,Российское бюро филателии,Sing,Neut
25,Грейнджеры,Plur,Masc
26,Комиссия наук и искусств,Sing,Fem
27,Гуверовский институт,Plur,
28,Центральный аэрогидродинамический институт,Plur,
29,Ха-поэль ха-мизрахи,,
30,"Танрыовер, Хамдуллах Супхи",,
31,Bissell (компания),,
32,Всероссийский научно-исследовательский институт радиотехники,Sing,Masc
33,Институт гидромеханики АН УССР,Plur,
34,Коммунистическая партия Эквадора,Sing,Fem
35,Нооред Коткад,Sing,Masc
36,Тугендбунд,Sing,Masc
37,Буди Утомо,,
38,Царскосельское викариатство,Sing,Neut
39,Русское историческое общество,Sing,Neut
40,Императорское Вольное экономическое общество,Sing,Neut
41,Литературный фонд,Sing,Masc
42,Международный союз общественного транспорта,Sing,Masc
43,Институт грибного биоразнообразия Вестердейк,,
44,Всемирная вненациональная ассоциация,Sing,Fem
45,"Гёгюш, Али Ихсан",Sing,Masc
46,Гоминьдан,Sing,Masc
47,Грузинский кутаисский театр имени Ладо Месхишвили,Sing,Masc
48,Ирландская социалистическая республиканская партия,Sing,Fem
49,Московский драматический театр имени Н. В. Гоголя,Plur,Fem
50,"Моллаоглы, Ахмет Мухтар",Sing,
51,Стальной шлем,Sing,Masc
52,Англо-еврейское общество,Sing,Neut
53,Русское православное кафолическое общество взаимопомощи,Sing,Neut
54,Общество русских дам,Plur,Fem
55,Апелляционный суд Холугаланда,Sing,Masc
56,Чешская национально-социальная партия,Sing,Fem
57,Клуб беспристрастных,Plur,Fem
58,Общество инженеров кино и телевидения,Plur,Masc
59,Немецкая рабочая партия,Sing,Fem
60,Азербайджанский театр оперы и балета имени М.,Sing,Masc
61,Ф.,Sing,Fem
