,entity,number,gender
0,Glavni obveščevalni center (NKKJ),Sing,Masc
1,Fakulteta za osnovno medicino v Moskvi,Sing,Fem
2,Japonska agencija za raziskovanje vesolja,Sing,Fem
3,Palača Argentinskega narodnega kongresa,Sing,Neut
4,Veleposlaništvo Republike Slovenije v Izraelu,Sing,Fem
5,Preiskovalna komisija za parlamentarno preiskavo o vpletenosti in odgovornosti javnih funkcij v zvezi z najdbo orožja na mariborskem letališču,Sing,Fem
6,Univerza v Tübingenu,Sing,Masc
7,Apostolska nunciatura v Eritreji,Sing,Fem
8,Moskovska maneža,Sing,Fem
9,Univerza v Osijeku,Sing,Masc
10,Baksanski nevtrinski observatorij,Sing,Masc
11,Kanadske oborožene sile,Plur,Fem
12,Apostolska nunciatura v Mozambiku,Sing,Fem
13,Odbor za mednarodne odnose Državnega zbora Republike Slovenije,Sing,Masc
14,Univerza v Bayreuthu,Sing,Masc
15,Papeška biblična komisija,Sing,Fem
16,"Fakulteta za elektrotehniko, strojništvo in ladjedelništvo v Splitu",Sing,Neut
17,Fakulteta za strojništvo in ladjedelništvo v Zagrebu,Sing,Fem
18,Univerza v Trstu,Sing,Masc
19,Apostolska nunciatura na Češkoslovaškem,Sing,Fem
20,Trgovski dom,Sing,Masc
21,ESCP Business School,Sing,Masc
22,Organizacija Todt,Sing,Fem
23,Teatro Massimo,Plur,
24,Komisija po Zakonu o nezdružljivosti opravljanja javne funkcije s pridobitno dejavnostjo Državnega zbora Republike Slovenije,Plur,Fem
25,Galleria dell'Accademia,Sing,Fem
26,BMW muzej,Sing,
27,Veleposlaništvo Republike Slovenije v Severni Makedoniji,Sing,Fem
28,Visoka zdravstvena šola v Tuzli,Sing,Fem
29,Apostolska nunciatura v Izraelu,Sing,Fem
30,"Palača Residenz, München",Sing,Masc
31,Visoka zdravstvena šola v Sarajevu,Sing,Fem
32,Klub parlamentark Državnega zbora Republike Slovenije,Sing,Masc
33,Zvezni urad za spomenike Avstrije,Sing,Masc
34,Fakulteta za gospodarske znanosti na Dunaju,Sing,
35,Fakulteta za življenjske znanosti na Dunaju,Sing,Fem
36,Vojaški ordinariat Hrvaške,Sing,Masc
37,"Preiskovalna komisija o domnevnem škodljivem, nedopustnem in nezakonitem ter neustavnem delovanju in poslovanju Izvršnega sveta Skupščine mesta Ljubljana, izvršnih svetov Skupščin občin Postojna, Trbovlje in Izola (...)",Plur,Masc
38,Nemška mednarodna šola v Zagrebu,Sing,Fem
39,Vojaška akademija Vorošilov,Sing,Fem
40,9. državni zbor Republike Slovenije,Plur,Fem
41,"Kolidž svete Trojice, Dublin",Plur,
42,Protiletalsko artilerijsko vojaško učilišče JLA,Sing,Fem
43,Ildebrando Antoniutti,,
44,Fakulteta za kriminalistične vede v Sarajevu,Plur,Fem
45,Kemijska fakulteta v Moskvi,Sing,Neut
46,Apostolska nunciatura v Ukrajini,Sing,Fem
47,Fakulteta za psihologijo in pedagogiko v Münchnu,Sing,Fem
48,Univerza za glasbo in uprizoritvene umetnosti Dunaj,,
49,Pergamonski muzej,Sing,
50,Ekonomska fakulteta v Münchnu,Sing,Neut
51,Gozdarska fakulteta v Banja Luki,Sing,Neut
52,8. državni zbor Republike Slovenije,Plur,Fem
53,Slovaška filharmonija,Sing,Fem
54,Komisija za narodni skupnosti Državnega zbora Republike Slovenije,Plur,Fem
55,Medicinska fakulteta v Tuzli,Sing,Neut
56,Apostolska nunciatura v Litvi,Sing,Fem
57,Mednarodni filmski festival v Berlinu,Sing,Masc
58,Gledališče opere in baleta Tbilisi,Plur,Fem
