,entity,number,gender
0,Товариство відродження Китаю,Sing,Neut
1,Національна академія наук України,Sing,Fem
2,Міністерство регіонального розвитку та фондів Європейського Союзу (Хорватія),Sing,Neut
3,Пагвоський рух учених,Sing,Masc
4,American Pediatric Surgical Association,,
5,Національна спілка кобзарів України,Sing,Fem
6,Федерація роботодавців України,Sing,Fem
7,GÉANT,,
8,Група геронтологічних досліджень,Sing,Fem
9,АНЗЮС,,
10,Українська народна рада в Ясіню,Sing,Fem
11,Український державний геологорозвідувальний інститут,Sing,Masc
12,Міжнародна федерація волейболу,Sing,Fem
13,Вінницька обласна рада,Sing,Fem
14,Відділ ігрового забезпечення Нью-Джерсі,,
15,Національна олімпійська та спортивна асоціація Ісландії,Sing,Fem
16,Міністерство землі та транспорту Японії,Sing,Neut
17,Чернівецька обласна державна адміністрація,Sing,Fem
18,Криворізька Рада Церков,Sing,Fem
19,Верховна Рада Латвійської РСР,Sing,Fem
20,Олімпійська рада Ірландії,Sing,Fem
21,Всесвітнє братство буддистів,Sing,Neut
22,Господарський суд Чернівецької області,Sing,Masc
23,Міжнародна асоціація дослідників геноциду,Sing,Fem
24,Управління ООН з наркотиків і злочинності,Sing,Neut
25,ЮНІСЕФ,Sing,Masc
26,Бразильська Есперантистська Молодіжна Організація,Sing,Fem
27,Олімпійські комітети Європи,Plur,Fem
28,LIPU,,
29,ВААД України,Sing,Fem
30,Вікімедіа Україна,Sing,Fem
31,IPTC,,
32,Радянський Есперантистський Молодіжний Рух,Sing,Masc
33,Незалежний орден Дивних стипендіатів,Sing,Masc
34,Пластиковий рух Багамських островів,Sing,Masc
35,Рада Міністрів Азербайджанської РСР,Sing,Fem
36,Ерахтас,Sing,Masc
37,Академія кінематографічних мистецтв і наук Іспанії,Sing,Fem
38,Федеральна служба державної статистики,Sing,Fem
39,Міністерство безпеки Боснії і Герцеговини,Sing,Neut
40,Самарська державна філармонія,Sing,Fem
41,Товариство скептиків,Sing,Neut
42,Мажиліс,Sing,Masc
43,Міжнародний трибунал щодо колишньої Югославії,Sing,Masc
44,Європейська кіноакадемія,Sing,Fem
45,Український ПЕН,Sing,Masc
46,Міждержавний авіаційний комітет,Sing,Masc
47,Матиця сербська в Республіці Сербській,Sing,Fem
48,Об'єднання німецьких профспілок,Sing,Neut
49,Центр досліджень та розробок медичних наук,Sing,Masc
50,Хліборобсько-освітній союз,Sing,Masc
51,Національне управління океанічних і атмосферних досліджень,Sing,Neut
52,Асоціація українських правників,Sing,Fem
53,Маладняк,,
54,Американське математичне товариство,Sing,Neut
55,Міжнародна федерація фонографічної індустрії,Sing,Fem
56,Суши Wok (мережа магазинів),,
57,Інститут 9 травня,Sing,Masc
58,Американське папоротеве товариство,Sing,Neut
59,Єврейське колонізаційне товариство,Sing,Neut
60,Союз українських студентів у Німеччині,Sing,Masc
61,Правий сектор,Sing,Masc
62,Ініціатива трьох морів,Sing,Fem
63,Державна служба України з етнополітики та свободи совісті,Sing,Fem
64,Луганська обласна рада,Sing,Fem
65,Синій хрест (організація),Sing,Masc
66,Джамаат Аш-Шабааб,Sing,Masc
67,Міжнародна асоціація шахової преси,Sing,Fem
68,Білоруська асоціація журналістів,Sing,Fem
69,Управління з протидії корупції та організованій злочинності (Хорватія),Sing,Neut
70,Бейтар,Sing,Masc
71,НАТО,,
72,Федеральна служба захисту конституції Німеччини,Sing,Fem
73,"Союз промисловості, торгівлі, фінансів і сільського господарства",Sing,Masc
74,Хмельницька обласна державна адміністрація,Sing,Fem
75,Бюро перепису населення США,Sing,Neut
76,Міжнародна комісія з радіаційного захисту,Sing,Fem
77,United Cities and Local Governments,,
78,Асоціація обчислювальних машин,Sing,Fem
79,Національне кінематографічне управління Канади,Sing,Neut
80,Хорватський бадмінтонний союз,Sing,Masc
81,Свободненська Українська Окружна Рада,Sing,Fem
82,Кінокритики Австралії,Plur,Masc
83,Центральне розвідувальне управління,Sing,Neut
84,Народний комісаріат державної безпеки,Sing,Masc
85,Конференція ООН з торгівлі та розвитку,Sing,Fem
86,Союз російських художників,Sing,Masc
87,Федеральні збори Чехословаччини,Plur,Masc
88,Шведська королівська академія інженерних наук,Sing,Fem
89,Українська академія архітектури,Sing,Fem
90,Лісова наглядова рада,Sing,Fem
91,Тагліт,Sing,Masc
92,Державне агентство України з туризму та курортів,Sing,Neut
93,Європейська ліга футболу,Sing,Fem
94,Conflict Intelligence Team,,
95,Project Zero,,
96,Спілка болгарських журналістів,Sing,Fem
97,Ізраїльський архітектурний архів,Plur,Masc
98,Гільдія кіноакторів США,Sing,Fem
99,Робітнича партія (Алжир),Sing,Fem
100,Інститут досліджень сучасної німецької історії і товариства імені Герда Буцеріуса,Sing,Masc
101,Національні збори В'єтнаму,Plur,Masc
102,Україна — В'єтнам (товариство),Sing,Fem
103,Партнерство «Відкритий Уряд»,Sing,Neut
104,Литовська асоціація есперанто,Sing,Neut
105,Всеукраїнська федерація гольфу,Sing,Fem
106,Союз французьких спортивних товариств,Sing,Masc
107,Міжнародний союз біатлоністів,Sing,Masc
108,Канадська профспілка автобудівників,Sing,Fem
109,Лемківський хор села Підзамочок,Sing,Masc
110,Національний інститут виноградарства (Уругвай),Sing,Masc
111,Польське стоматологічне товариство,Sing,Neut
112,Американська спілка маммалогів,Sing,Fem
113,Американське зварювальне товариство,Sing,Neut
114,Парламент Південного Судану,Sing,Masc
115,Open Handset Alliance,,
116,Асоціація міст України,Sing,Fem
117,Національна академія наук Республіки Казахстан,Sing,Fem
118,Кораблі милосердя,Plur,Masc
119,Європейський середземноморський сейсмологічний центр,Sing,Masc
120,Укргіпроруда,Sing,Fem
121,Польське товариство любителів астрономії,Sing,Neut
122,Всесвітня асоціація вітрової енергетики,Sing,Fem
123,Загальний союз трудящих,Plur,
124,Opus Dei,,
125,Громадянська міліція,Sing,Fem
126,Unframe,,
127,Об'єднана єврейська община України,Sing,Fem
128,Інститут фундаментальних досліджень Тата,Sing,Masc
129,Міжнародний конкурс вокалістів імені Бориса Гмирі,Sing,Masc
130,Карибська співдружність,Sing,Fem
131,Банк Республіки (Колумбія),Sing,Masc
132,Російський жіночий фашистський рух,Sing,Masc
