,entity,gender
0,Дзмітрый Мілюцін,m
1,Ібрагім I,m
2,Ігнацы Валовіч,m
3,Павел Серабракоў,m
4,Тарас Сайка,m
5,Дзмітрый Іпсіланці,m
6,Марлен Хуцыеў,m
7,Напалеон Яленскі,m
8,Фёдар Токараў,m
9,Кім Хандо,m
10,Джон Рэлей Мот,m
11,Фрэнк Капра,m
12,Клеон,m
13,Мішэль дэ Мантэнь,m
14,Кім Ён Сік,m
15,Рачыя Ачаран,m
16,Эдмонда Дэ Амічыс,m
17,Мікалай Падвойскі,m
18,Карл I Людвіг,m
19,Тадэвуш Францішак Агінскі,m
20,Цэцылія Рэната Габсбург,f
21,Джэймс Сцюарт,m
22,Эрнст Тругер,m
23,Жуль Басцьен-Лепаж,m
24,Аляксандр Палканаў,m
25,Лаяш Маслаі,m
26,Казімір Францішак Крышпін-Кіршэнштэйн,m
27,Веньямін Нэзлін,m
28,Міхал Зяновіч,m
29,Бернар Пікар,m
30,Цэлесцін III,m
31,Іван Баграмян,m
32,Марыя фон Эбнер-Эшэнбах,m
33,Петэр Серванскі,m
34,Іла ,m
35,Вазапісец Дыясфос,m
36,Вячаслаў Нячаеў,m
37,Рурык Расціславіч ,m
38,Усевалад Радкевіч,m
39,Арсам,m
40,Томас дэ Берланга,m
41,Генры Форд,m
42,Фарук I,m
43,Арыябарзан I Філарамей,m
44,Гарліб Меркель,m
45,Лука Марэнцыа,m
46,Петр Пецыя,m
47,Сяргей Міхалкоў,m
48,Эміліян Букаў,m
49,Ян Казаковіч,m
50,Рыгор Сямёнаў,m
51,Ян Вышаціч,m
52,Васіль Вашчыла,m
53,Пітак,m
54,Гаральд Лойд,m
55,Альбер Глез,m
56,Іван Скалабан,m
57,Франчэска Батычыні,m
58,Роберт Рычардс,m
59,Назлы Эджэвіт,m
60,Оскар Луіджы Скальфара,m
61,Джорджа Вазары,m
62,Якаў Парэцкі,m
63,Дзмітрый Анучын,m
64,Станіслаў Касінскі,m
65,Дзьюла Караі,m
66,Марыс Брыяншон,m
67,Павел Вансецкі,m
68,Гаацзу ,m
69,Еноўк Шаген,m
70,Леафвін Годвінсан,m
71,Джафар Джабарлы,m
72,Астафій Катовіч,m
73,Сноры Стурлусан,m
74,Уільям Холман Хант,m
75,Мікалай Сталяроў,m
76,Мікалай Аляксееў,m
77,Джон Клодыус Лаўдан,m
78,Станіслаў Урсын Нямцэвіч,m
79,Кармэн Амая,f
80,Леан Міхал Радзівіл,m
81,Веніямін Блажэнны,m
82,Сяргей Мелкіх,m
83,Джузэпэ Баніта,m
84,Джон Хэй ,m
85,Яўлампій Бяспоясаў,m
86,Аўгусцін Малар,m
87,Іван Несцераў,m
88,Ніканор Лявухін,m
89,Рыгор Юрый Друцкі-Горскі,m
90,Ахмед Фуад I,m
91,Актавіян Аўгуст,m
92,Васіль Супрун,m
93,Гаральд Вільсан,m
94,Вацлаў Бенеш Трэбізскі,m
95,Уорэн Гардзінг,m
96,Дзмітрый Вашчынін,m
97,Уладзімір Кулажанка,m
98,Фадзей Булгарын,m
99,Іда Лазарэвіч,m
100,Уладзімір Расатэ,m
101,Аляксандр Казімір Гінтаўт-Дзевалтоўскі,m
102,Аляксандр Бурак,m
103,Фанос Тэрлемезян,m
104,Вольга Праабражэнская,f
105,Іван Юркевіч,m
106,Джавані Сеганціні,m
107,Жан-Мацье-Філібер Серур’е,m
108,Павел Тоўсцікаў,m
109,Францішак Томашак,m
110,Аляксандр Самарскі,m
111,Іван Манькоўскі,m
112,Аляксей Варламаў,m
113,Эдлай Эвінг I Стывенсан,m
114,Павел Кавалёў,m
115,Лі Куан Ю,m
116,Карл VIII Валуа,m
117,Смбат I,m
118,Седэкія,m
119,Юльюш Славацкі,m
120,Мечыслаў Тукала,m
121,Дзір,m
122,Юліус Бісьер,m
123,Карл Людвіг Энгель,m
124,Ізабела Латарынгская,f
125,Георг Агрыкала,f
126,Іаган Іаахім Вінкельман,m
127,Міхаіл Урончанка,m
128,Карл Вайпрэхт,m
129,Францыск Станкар,m
130,Біргіт Нільсан,m
131,Альда Мора,m
132,Адам Хмара,m
133,Эмі Рапэ,m
134,Альфрэд Дыкін,m
135,Часлаў Сіповіч,m
136,Вінцэнт Рэут,m
137,Івік,m
138,П’ер Гасендзі,m
139,Дзмітрый Бяляцкі,m
140,Кінг Відар,m
141,Франья Міклашыч,m
142,Людвік Грынцэвіч,m
143,Норман Томас Гілрой,m
144,Марыя Ганна Іспанская,f
145,Фрэд Хойл,m
146,Галеаца Чыяна,m
147,Іван Батрак,m
148,Усевалад Іванаў,m
149,Віталь Данілаў,m
150,Любоў Мазалеўская,f
151,Аляксандр Пальмбах,m
152,Наталля Цэтэрман,f
153,Авіт,m
154,Мікалай Сіпко,m
155,Віктар Нагін,m
156,Аўгуста Вікторыя,f
157,Федан з Эліды,m
158,Вітрувій,m
159,Вейка Хакулінен,m
160,Карл Кастравіцкі,m
161,Яўген Хлябцэвіч,m
162,Альфонс Луіс Нікалас Барэлі,m
163,Бедржых Фрыда,m
164,Станіслаў Вайцяхоўскі,m
165,Рычард Кобдэн,m
166,Ігнацы Сапега,m
167,Герман Маландзін,m
168,Дрэст I,m
169,Дыянісій Наруцкі,m
170,Марыя Аўрора фон Кёнігсмарк,m
171,Аляксандр Цвікевіч,m
172,Аляксандр Петрушэўскі,m
173,Юрый Кепель,m
174,Эцьен дэ Ла Буэці,m
175,Дзмітрый Сапега,m
176,Вячаслаў Селях-Качанскі,m
177,Жан-Анарэ Фраганар,m
178,Уладзіслаў II Выгнаннік,m
179,Ізабэль дэ Шар’ер,f
180,Кнуд V,m
181,Аляксей Абрыкосаў,m
182,Ян Сільвестр Наркевіч-Ёдка,m
183,Генрык Жавускі,m
184,Роберт Бёрнс,m
185,Адрыян II ,m
186,Іван Ясіновіч,m
187,Пётр Кірэеўскі,m
188,Даменіка дзі Бартола,m
189,Мойша Гутман,m
190,Крысціёнас Данялайціс,m
191,Сяргей Салаўёў,m
192,Ян Караль Даўгяла Завіша,m
193,Нзінга Нкуву,m
194,Енс Крысціян Скоу,m
195,Антук Крыніца,m
196,Аляксей Бацян,m
197,Селеўк IV Філапатар,m
198,Імператар Тайсё,m
199,Джэймс Тобін,m
200,Станіслаў Эйсмант,m
201,Аляксандр Гарчакоў,m
202,Сімон Ушакоў,m
203,Айкануш Даніэлян,f
204,Антон Кернер,m
205,Касьян Галяйзоўскі,m
206,Фрэнсіс Мэрыён,m
207,Антон Сліц,m
208,Іосіф Валодзька,m
209,Трэвар Ховард,m
210,Аркадзь Касінцаў,m
211,Роза Шэліхава,f
212,Стафан Ялейнікаў,m
213,Уладзімір Яцкевіч,m
214,Павел Беркаў,m
215,Антоній ,m
216,Ян Пятроўскі,m
217,Марыя Арэшкава,f
218,Еўсцігней Міровіч,m
219,Анатоль Маслакоў,m
220,Альфрэд Сіслей,m
221,Ганс Таўсен,m
222,Эрнст Буш ,m
223,Фарнак ,m
224,Ада ,m
225,Пётр Бялінскі,m
226,Уладзіслаў Шафер,m
227,Дэні Папен,m
228,Васіль Самуцін,m
229,Хасэкура Цунэнага,m
230,Уладзімір Качан ,m
231,Уладзімір Іванавіч Смірноў ,m
232,Людовік X ,m
233,Томас Пейн,m
234,Аляксандр Вахрушаў,m
235,Альфрэд Хічкок,m
236,Жанета Гранберг,f
237,Квамэ Нкрума,m
238,Яўграф Бельскі,m
239,Сідней Брэнер,m
240,Зенадот Эфескі,m
241,Аляксей Красільнікаў,m
242,Зінаіда Астаповіч-Бачарова,f
243,Багуслаў Юрый Слушка,m
244,Лівій Андронік,m
245,Мікалай Зарэмба,m
246,Крыштаф Кішка,m
247,Ежы Асмалоўскі,m
248,Аляксандр II ,m
249,Ізабела Бразільская,f
250,Барталамеа Віварыні,m
251,Пётр Журавецкі,m
252,Ісідар Барахаў,m
253,Анатоль Багатыроў,m
254,Крыштаф Весялоўскі,m
255,Альбрэхт III Набожны,m
256,Сяргей Каданчык,m
257,Олівер Голдсміт,m
258,Павел Судаплатаў,m
259,Ігнацы Ляхніцкі,m
260,Карл IX ,m
261,Міхал Бярновіч,m
262,Іраклій Абашыдзэ,m
263,Мэцью Мак-Грат,m
264,Каміль Нікаля Фламарыён,m
265,Антуан Рысо,f
266,Сцяпан Жукаў,m
267,Эсфір ,f
268,Аляксей Зефіраў,m
269,Яўген Шварц,m
270,Фульхенсіа Батыста,m
271,Рыгор Пацёмкін,m
272,Георг II ,m
273,Мішэль Дэбрэ,m
274,Цяньлун,m
275,Аляксандр Людвік Радзівіл,m
276,Мікалай Шчаглоў-Куліковіч,m
277,Герман Матсон,m
278,Аляксандр Якавенка,m
279,Іван Паўлоўскі,m
280,Бенедыкт XIII,m
281,Уладзімір Паўлючук,m
282,Віталь Катаеў,m
283,Марыя Ільінічна Мацэнка,m
284,Рыхарда Катарына Мекленбургская,f
285,Эдвард Пякарскі,m
286,Ефрасіння Брэўс,f
287,Рычард Пайпс,m
288,Ільдэфонс Таледскі,m
289,Сцяпан Халтурын,m
290,Сяргей Юткевіч,m
291,Аскар Марыкс,m
292,Юзаф Трыпуцька,m
293,Джоні Ходжэс,m
294,Яўген Вільчко,m
295,Філіп Эдуард Антон фон Ленард,m
296,Джэк Керуак,m
297,Аннэ Банэ,m
298,Юліус ван Зёйлен ван Неевелт,m
299,Сяргей Галавашанка,m
300,Ханс Адольф Крэбс,m
301,Артаферн I,m
302,Дзмітрый Лелюшэнка,m
303,Самуіл Кормер,m
304,Эндрэ Адзі,m
305,Іван Мічурын,m
306,Гейсберт ван Тынховен,m
307,Эйрык Крывавая Сякера,m
308,Кэрал Ломбард,f
309,Віктар Крышчановіч,m
310,Саламея Русецкая,f
311,Марцін Чаховіц,m
312,Кірыл Тамашэвіч,m
313,Пердыка II,m
314,Нічыпар Глушанкоў,m
315,Іван Прусаў,m
316,Міхаіл Без-Карніловіч,m
317,Кацярына II,f
318,Джон Бойд Ор,m
319,Франсуа Жувенэ,m
320,Оскар Лутс,m
321,Томас Молтан,m
322,Зыгмунт Скірмунт,m
323,Арсенцій Юхнавец,m
324,Леандр Севільскі,m
325,Франц Рубо,m
326,Стэфан Борджыа,m
327,Індрык Гайліт,m
328,Луіза Арнер Бойд,m
329,Мікалай Шарко,m
330,Жан Тама дэ Тамон,m
331,Станіслаў Булак-Балаховіч,m
332,Даніла Міцкевіч,m
333,Аляксандр Бажанаў,m
334,Аляксей III Ангел,m
335,Альберт Бакіноўскі,m
336,Джозеф Блэк,m
337,Іван Бодзюл,m
338,Джэймс Фрэнсіс Стывенс,m
339,Мікалай Вазнясенскі,m
340,Сяргей Галюн,m
341,Бенедыкт Война,m
342,Фрыда Кало,f
343,Максім Бурсевіч,m
344,Сяргей Каменеў,m
345,Жазеф Фушэ,m
346,Валянціна Сямашка,f
347,Усевалад Мяркулаў,m
348,Ежы Шаняўскі,m
349,Іаан Раманаў,m
350,Сяргей Боткін,m
351,Леў Вінаградаў,m
352,Рэнэ Жуст Гаюі,m
353,Леў Макаў,m
354,Нікіфар Крыніцкі,m
355,Канстанцін Сербіновіч,m
356,Франсуа Рэнэ дэ Шатабрыян,m
