,entity,gender
0,Хуго Юнкерс,m
1,Катерина ,f
2,Асен Константинов,m
3,Герхарт Хауптман,m
4,Стефан Богориди,m
5,Едуард Бернщайн,m
6,Рудолф Линд,m
7,Атанас Буовски,m
8,Минас Миноидис,m
9,Константин Арменопул,m
10,Роберт ,m
11,Йохан Георг III ,m
12,Карл Вилхелм Фридрих ,m
13,Константин Балмонт,m
14,Лудвиг фон Равенсберг ,m
15,Робърт О'Хара Бърк,m
16,Елизабет фон Хенеберг,f
17,Бонифаций Монфератски,m
18,Василий Тропинин,m
19,Йохан Филип фон Грайфенклау цу Фолрадс,m
20,Хайнрих I ,m
21,Ото фон Щолберг-Вернигероде,m
22,Доминик Йостеррайхер,m
23,Франц де Паула Гундакар фон Колоредо-Мансфелд,m
24,Герхард I фон Зайн,m
25,Дитрих II/IV ,m
26,Лудолф фон Шпигел-Дезенберг,m
27,Алфонс Туснел,m
28,Хуго II фон Шьонбург-Глаухау,m
29,Олга Скобелева,f
30,Георги Тодоров,m
31,Елеонора Гонзага дела Ровере,f
32,Леонид Андреев,m
33,Николо Цингарели,m
34,Махмуд Драмали паша,m
35,Йоан Кронщадски,m
36,Михаил VII Дука,m
37,Лудвиг фон Щархемберг,m
38,Алфред Брукс,m
39,Андон Раев,m
40,Франсиско Васкес де Коронадо,m
41,Алонсо де Охеда,m
42,Кристиан Август фон Валдек-Пирмонт,m
43,Маргарета фон Труендинген,f
44,Марсилий Падуански,m
45,Луиз Коле,m
46,Антон Евзебиус фон Кьонигсег-Аулендорф,m
47,Петрос Хадзитасис,m
48,Нектарий Мамолис,m
49,Йойстейн II,m
50,Йохана Австрийска,f
51,Фридрих Фердинанд фон дер Лайен,m
52,Елизабет фон Турн и Таксис ,f
53,Лудвиг II ,m
54,Вилхелм I ,m
55,Карл Вилхелм Лудвиг фон Изенбург-Бюдинген-Меерхолц,m
56,Улрих ,m
57,Алексо Василев,m
58,Нел Гуин,f
59,Августа-Амалия Баварска,f
60,Хайнрих II ,m
61,Михаил Василиев,m
62,Анна Пустовойтова,f
63,Мария Нидерландска ,f
64,Шарл дю Канж,m
65,Хайнрих Распе I,m
66,Сута Бъчварова,f
67,Хенри IV,m
68,Гийом VIII ,m
69,Ангел Чолаков,m
70,Беатриса I ,f
71,Джон Далтон,m
72,Саверио Меркаданте,m
73,Лудвиг Август фон дер Асебург,m
74,Луиза-Анриет дьо Бурбон,m
75,Лорънс Стърн,m
76,Готфрид IV ,m
77,Алфред Натхорст,m
78,Хайнрих XXI фон Шварцбург-Бланкенбург,m
79,Годфри Нелър,m
80,Кажимеж Моравски,m
81,Филотей I Кокин,m
82,Хуан Хосе Ернандес Перес,m
83,Йоханес Брамс,m
84,Ото I фон Брауншвайг,m
85,Юлия Меса,f
86,Бьорнстерне Бьорнсон,m
87,Пантелей Ценов,m
88,Бернхард фон Триксен,m
89,Христо Попконстантинов,m
90,Доменико Квальо,m
91,Ганю Атанасов,m
92,Волфганг Мориц фон Ауершперг,m
93,Филип II фон Даун-Фалкенщайн,m
94,Жуау VI,m
95,Джордж Байрон,m
96,Гаетано Доницети,m
97,Анселм II фон Раполтщайн,m
98,Дитрих IV/VI ,m
99,Мидхад Шюкрю Бледа,m
100,Гилбърт Кийт Честъртън,m
101,Арнолд фон Зеленхофен,m
102,Аксентие Бацетович,m
103,Рудолф II фон Дипхолц,m
104,Анна Амалия фон Баден-Дурлах,f
105,Йохан IV фон Щархемберг,m
106,Фердинанд Мария Иноценц Баварски,m
107,Христо Телятинов,m
108,Антон Преториус,m
109,Шарл Пеги,m
110,Ернст Кумер,m
111,Август Ярнефелт,m
112,Кристиан фон Дом,m
113,Марко Лазаров,m
114,Антонио Салиери,m
115,Вавжинец Суровецки,m
116,Георг Вилхелм ,m
117,Христо Пасхов,m
118,Никола Троянов ,m
119,Джовани Борджия ,m
120,Димитриос Даманис,m
121,Вилхелм Лудвиг ,m
122,Джон Смит,m
123,Михаил Вълков,m
124,Марин Дринов,m
125,Отхайнрих,m
126,Готхелф Адолф фон Хойм,m
127,Валрам III ,m
128,Йоаникий Преспански и Охридски ,m
129,Джовани Батиста Перголези,m
130,Ангелос Мустоксидис,m
131,Мери Сидни,f
132,Файт Вернер фон Цимерн,m
133,Фридрих ,m
134,Атанасиос Аргириадис,m
135,Пиер Льотурньор,m
136,Хайнрих II фон Виш,m
137,Франсис Ходжсън Бърнет,f
138,Франц III ,m
139,Величко Апостолов,m
140,Доменико II Контарини,m
141,Уилям Тафт,m
142,Фридрих Карл фон Фюрстенберг-Вайтра,m
143,Голуб Янич,m
144,Йоаким Зъхненски,m
145,Кристина Лотарингска,f
146,Твърдко I,m
147,Геро фон Ветин,m
148,Осман паша,m
149,Тонко Рашеев,m
150,Иван Симеонов ,m
151,Фердинандо Карло Гонзага,m
152,Теодор Газа,m
153,Желю войвода,m
154,Димитри Атанасеску,m
155,Илия Гулабчев,m
156,Иван Варналиев,m
157,Синодин Попсидеров,m
158,Исмаил Хакъ ефенди Манастърлъ,m
159,Изота Ногарола,m
160,Григорий XII,m
161,Херман III фон Фробург,m
162,Били Хлапето,m
163,Густав Айфел,m
164,Ото Браун,m
165,Август Вилхелм ,m
166,Волфганг Кристоф фон Папенхайм,m
167,Хуан Баутиста Пастене,m
168,Карл Боромеус фон Лихтенщайн,m
169,Фридрих I ,m
170,Жул-Едуар Албоаз дьо Пюжол,m
171,Пиер Едмон Боасие,m
172,Фридрих фон Хоенау,m
173,Ерих I ,m
174,Хайнрих IV фон Верденберг-Хайлигенберг-Райнек,m
175,Франц Антон фон Валдбург-Цайл-Траухбург,m
176,Августин фон Зинцендорф,m
177,Хайнрих I фон Брауншвайг-Грубенхаген,m
178,Йохан Албрехт фон Бюлов,m
179,Анна Мария фон Льовенфелд,f
180,Егенолф III фон Раполтщайн,m
181,Карл Томас Моцарт,m
182,Карл IX,m
183,Георг Лудвиг фон Золмс-Рьоделхайм,m
184,Йохан I ,m
185,Симон VII Векер,m
186,Едуард фон Саксония-Алтенбург,m
187,Каспар фон Мансфелд-Хинтерорт,m
188,Райнхард фон Хелмщат,m
189,Жак дьо Нойон,m
190,Христодулос Хадзипетрос,m
191,Еме Писи,m
192,Димитър Балев ,m
193,Фридрих IV ,m
194,Христо Чочо,m
195,Етиен Морис Фалконе,m
196,Албрехт I ,m
197,Йозеф II,m
198,Александър V ,m
199,Леополдо Медичи,m
200,Спиридон Палаузов,m
201,Константин Рудановски,m
202,Сергей Рахманинов,m
203,Петко Мачев,m
204,Машаду ди Асис,m
205,Хатидже Халиме Хатун,m
206,Ермес Мария Сфорца,m
207,Никола Мушмов,m
208,Измаил Срезневски,m
209,София фон Брауншвайг-Волфенбютел,f
210,Адолф III ,m
211,Амалия фон Даун-Фалкенщайн,f
212,Жан I ,m
213,Мицо Хаджитраев,m
214,Августа Доротея фон Брауншвайг-Волфенбютел,f
215,Франц фон Бентхайм-Текленбург,m
216,Георг Зимел,m
217,Кристиан Вилхелм ,m
218,Лудвиг VIII ,m
219,Севастиан Скопски,m
220,Томас Хъксли,m
221,Никола Лазаров,m
222,Конрад XII фон Бемелберг-Хоенбург,m
223,Димитър Кавра,m
224,Конрад II ,m
225,Едмон Ростан,m
226,Вела Благоева,f
227,Катарина фон Нюрнберг,f
228,Фридрих Вилхелм Август фон Алвенслебен-Изеншнибе,m
229,Александър VIII,m
230,Димитър Благоев,m
231,Фазъл Ахмед паша,m
232,Христо Бучков,m
233,Емерих Ото Август фон Есторф,m
234,Ернестина Албертина фон Саксония-Ваймар-Айзенах,f
235,Кара Хюлегю,m
236,Хайнрих I ,m
237,Йохан Фридрих Александер ,m
238,Йохан Давид Хайнихен,m
239,Филип фон Насау,m
240,Тома Вишанов,m
241,Фридрих I ,m
242,Франц Хайнрих фон Шьонбург-Валденбург,m
243,Кристиан I ,m
244,Маринчо Бенли,m
245,Хелена Шерфбек,m
246,Рудолф Рети,f
247,Дмитрий Орлов,m
248,Мария Египтиака фон Йотинген-Йотинген,f
249,Фридрих I фон Брена,m
250,Лудовика Баварска,f
251,Павлос Нерандзис,m
252,Димитър Георгиев ,m
253,Рудолф I фон Баден,m
254,Балтазар ,m
255,Атанас Марковски,m
256,Диего де Алмагро,m
257,Иванаки Йонков-Кюркчията,m
258,Йохан фон Шлезвиг-Холщайн-Готорп,m
259,Фридрих фон Йотинген,m
260,Клод Фориел,m
261,Ернст фон Зайн-Витгенщайн-Хомбург,m
262,Фердинанд Максимилиан II фон Изенбург-Бюдинген,m
263,Константинос Херопулос,m
264,Стамат Димов,m
265,Стефан Трайков ,m
266,Илия Богданов,m
267,Георг Херман ,m
268,Велф VI,m
269,Леонидас Папапавлу,m
270,Йохан Гадолин,m
271,Морис дьо Сакс,m
272,Мария Монфератска,f
273,Ханс VI фон дер Шуленбург,m
274,Джон Уилям Полидори,m
275,Анна Магдалена фон Хоенлое-Лангенбург,m
276,Васил Атанасов ,m
277,Изабела I ,f
278,Александер Фридрих Георг фон дер Шуленбург,m
279,Марк Брюнел,m
280,Август фон Зайн-Витгенщайн-Хоенщайн,m
281,Чьоинг Дордже,m
282,Газали,m
283,Карл от Клеве-Невер,m
284,Кирил Живкович,m
285,Франц II Ксавер фон Залм-Райфершайт,m
286,Георг I ,m
287,Мария Рейнолдс,m
288,Константинос Димарас,m
289,Фридрих VI фон Лайнинген,m
290,Вилхелм фон Грумбах,m
291,Томас Пейн,m
292,Йохан III фон Вид,m
293,Йохан Антон I фон Монфор-Тетнанг,m
294,Георги Янински,m
295,Хайнрих I фон Вестербург,m
296,Георги Чапрашиков,m
297,Анна фон Лайнинген-Вестербург,f
298,Юта фон Изенбург,f
299,Каролина фон Щолберг-Гедерн ,f
300,Славчо Бабаджанов,m
301,Теню Бойдев,m
302,Куно фон Малберг,m
303,Петер Кристен Асбьорнсен,m
304,Юлиус Зигмунд ,m
305,Херман IV фон Зафенберг,m
306,Дейвид Карнеги,m
307,Мария Комнина ,f
308,Жозеф Алфред Сере,m
309,Григор Пърличев,m
310,Албрехт IV ,m
311,Джак Даниъл,m
312,Шарлота Вилхелмина фон Хесен-Дармщат,f
313,Ханс Хайнрих VI фон Хохберг,m
314,Йозеф Освалд фон Атемс,m
315,Дитрих IV фон Рункел,m
316,Йенс Мунк,m
317,Адам Матиас фон Траутмансдорф-Вайнсберг,m
318,Стоян Калудов,m
319,Томас Уилис,m
320,Кристоф Албрехт фон Каниц,m
321,Мина Караджич,m
322,Жан-Батист Ламарк,m
323,Стеван Сремац,m
324,Тодор Шиваров,m
325,Фридрих Улрих ,m
326,Олаф Магнусон,m
327,Зиновий Рожественски,m
328,Гюнтер XXX ,m
329,Анна Саксонска ,f
330,Александър Ходзко,m
331,Йохан ,m
332,Едуард Лоу,m
333,Албрехт фон Анхалт,m
334,Никола Ганчев ,m
335,Хосе де Рибера,m
336,Джон Дън,m
337,Георги Гърнев,m
338,Георг Ариберт фон Анхалт-Десау,m
339,Амели дьо Боарне,f
