,entity,gender
0,Franz Becher,m
1,Franz Gromes,m
2,Plinius mladší,m
3,Barthélemy Charles Joseph Dumortier,m
4,Adalbert Hamburský,m
5,Tobias Mössner,m
6,Franz Bunk,m
7,Adam Myslík z Hyršova,m
8,Sofia Palaiologovna,f
9,Marie Barbara Bachová,f
10,Carlo Allioni,m
11,David Roberts,m
12,Vincenzo Bellini,m
13,Aelfric,m
14,William Fanshawe Martin,m
15,Arcontius z Viviers,m
16,Johann Hinrich Wichern,m
17,John Toland,m
18,Felix z Valois,m
19,Pavol Adámi,m
20,William Kirby,m
21,Ansprand,m
22,Justus Takayama Ukon,m
23,Ecgfrith Northumbrijský,m
24,Sigurd II. Norský,m
25,Oldřich II. z Hradce,m
26,Josef Ackermann,m
27,Adolf Maria Pinkas,m
28,Hans Burgkmair starší,m
29,Garcia de Orta,m
30,Jan I. Braniborský,m
31,Konstancie Velkopolská,f
32,Thegčhog Dordže,m
33,"John Sheffield, 1. vévoda z Buckinghamu a Normanby",m
34,Eleonora Bretaňská,f
35,Charles de Saint-Albin,m
36,Albertus Bohemus,m
37,Jiří Plachý-Ferus,m
38,Daniel Paulina,m
39,Marie Kristýna Neapolsko-Sicilská,f
40,Šams z Tabrízu,m
41,John Evelyn,m
42,Vasco da Gama,m
43,Matyáš Gallas,m
44,Sarah Childress Polková,f
45,Rudolf II. z Vermandois,m
46,Mirzá Ghálib,m
47,Jaroslav Weintritt,m
48,Ámina,f
49,Marie Františka Falcko-Sulzbašská,f
50,Anna Koltovská,f
51,Jan Smolko,m
52,Jan Karel Habsburský,m
53,Laonikos Chalkokondyles,m
54,Anton Bernolák,m
55,Ludvík II. Němec,m
56,Adolf z Cambridge,m
57,Gainas,m
58,Dürrüşehvar Hanımefendi,f
59,Giovanni Battista Quadri,m
60,Parhez Banu Begum,f
61,Alexis Clairaut,m
62,Tomás de Torquemada,m
63,Kimón,m
64,Marie Žofie Helena Beatrice Bourbonská,f
65,Eleonora Marie Anhaltsko-Bernburská,f
66,Ono no Komači,f
67,František Leopold Stanke,m
68,Svatý Adalar,m
69,Manuela Kirkpatricková,f
70,Adrian de Vries,m
71,Jacopo Aconcio,m
72,Spiridione Petrovich,m
73,Andrej Sirácky,m
74,Karel z Angoulême,m
75,Luigi Mancia,m
76,Giovanni Antonio Canal,m
77,Theobald II. Navarrský,m
78,Johann Christoph von Dreyhaupt,m
79,Peter Forsskål,m
80,Giambattista Bodoni,m
81,Žofie Dorota Württemberská,f
82,Eleonora Neapolská,f
83,Adam ze Schwarzenbergu,m
84,I Sun-sin,m
85,Ferdinand Arnošt Hýzrle z Chodů,f
86,Jean-Baptiste Nompere de Champagny,m
87,Franko Kolínský,m
88,Martín de Hinojosa,m
89,Jean-Louis Guez de Balzac,m
90,Barbora Piešová,f
91,Pietro Aretino,m
92,Tereza Sasko-Hildburghausenská,f
93,Giovanni de Pretis,m
94,Lucie Otýlie z Hradce,f
95,Jacques Blondeau,m
96,Herkules I. Monacký,m
97,Antoine Gautier de Montdorge,m
98,Ekkard,m
99,Ludmila Přemyslovna,f
100,Stephen Large,m
101,Poseidónios,m
102,Anna Francouzská,f
103,Ludvík Španělský,m
104,Christian Daniel Rauch,m
105,Karel I. Ludvík Falcký,m
106,Vavřinec Krasonický,m
107,Josef Arnošt Bergman,m
108,Fausto Sozzini,m
109,Charles Grey,f
110,Artur Gołuchowski,m
111,"Karel Stuart, vévoda z Cambridge",m
112,Šimon Lomnický,m
113,Josef František Hurdálek,m
114,Johana z Valois,f
115,Josef Nestával,m
116,François Gayot de Pitaval,m
117,Marie Anna z Thunu-Hohenštejna,f
118,Jiří Mareš,m
119,"Mary Villiersová, hraběnka z Buckinghamu",f
120,Antonín Belcredi,m
121,Lukrécie Barberini,f
122,Guntram,m
123,Jan Vorel,m
124,Ivan Štafilić,m
125,Łukasz Górnicki,m
126,Skirgaila,m
127,Johann Emanuel Veith,m
128,František Bohumír Štěpnička,m
129,Hugo z Brienne,m
130,Salomon Gessner,m
131,Karel Ferdinand Vasa,m
132,"Richard Lumley, 2. hrabě ze Scarborough",m
133,Antoni Tallander,m
134,William Lilly,m
135,Nikolaj Brašman,m
136,Karel František z Lichtenštejna,f
137,Emma Italská,f
138,Lippold Ben Chluchim,m
139,Aimée du Buc de Rivéry,f
140,Pafnucius,m
141,Magnus IV. Norský,m
142,Kateřina z Redernu,f
143,Grigorij Ivanovič Šelechov,m
144,Jan z Jesenice,m
145,Severin Vrbčanský,m
146,Anna Těšínská,f
147,Hroznata,m
148,Řehoř Divotvůrce,m
149,Vannozza dei Cattanei,f
150,Isabela Luisa z Braganzy,f
151,Jan Sarkander,m
152,Otto Friedrich Müller,m
153,Matthew Paris,m
154,Pien Ťing-čao,m
155,Jindřich I. Brabantský,m
156,Johann Stieger,m
157,Marie z Harcourtu,f
158,Arnulf I. Flanderský,m
159,Benjamin Thompson,m
160,Franz Laufberger,m
161,Ingeborg Norská,f
162,Markéta Habsburská,f
163,Gertruda z Hohenbergu,f
164,Zdenek Rykr,m
165,Gilbert Stuart,m
166,William Elford Leach,m
167,Domaslav,m
168,Isidor Teutschmann,m
169,Bernard ze Žerotína,m
170,Jana Enríquezová,f
171,Beatrix Kastilská,f
