,entity,gender
0,Dagobert I,m
1,Wacław Henryk Przemyślida,m
2,Karol Garnier,m
3,Alp Arslan,m
4,Audacja Małgorzata,f
5,Alfons IX,m
6,Daniel van Heil,m
7,Chrystian III Oldenburg,m
8,Reginald Pole,m
9,Girolamo Doria,m
10,Joanna z Orvieto,f
11,Diego Méndez de Salcedo,m
12,Bernard Potocki,m
13,Michel Le Tellier,m
14,Arvid Axel Mardefelt,m
15,Giovanni Andrea Mercurio,m
16,Jakub III,m
17,Henry Brandon,m
18,Giorgio Biandrata,m
19,William de Clinton,m
20,Herri met de Bles,m
21,Fatma,m
22,Nicolò I Sommaripa,m
23,Sinhaeng,m
24,Zygfryd I,m
25,Tekla,m
26,Matej Kornel Hell,m
27,Charlotta Małgorzata de Montmorency,f
28,Ludwik Sabaudzki,m
29,Hugo IV,m
30,Pierre de Lancre,m
31,Jolenta Helena,f
32,Antonio Barberini,m
33,Chosrow II Parwiz,m
34,Aleksander Krzysztof Naruszewicz,m
35,Pieter Claesz,m
36,Jakub Froszek,m
37,Stanisław Kiszka,m
38,Raul II z Peronne,m
39,Piotr Faber,m
40,Lucjusz Cecyliusz Metellus Diadematus,m
41,Kiyohara no Motosuke,m
42,Angelo d’Anna de Sommariva,m
43,Anselmo Marzato,m
44,Gustaw Eriksson Waza,m
45,Jan VII de Bourbon-Vendôme,m
46,Jean Lesieur,m
47,Giovanni Battista Cicala,m
48,Guillaume d’Aigrefeuille,m
49,Klara Augusta z Brunszwiku-Lüneburg,m
50,Władysław Silnicki,m
51,Yusuf Nabi,f
52,Arseniusz Pustelnik,m
53,Gu Yanwu,m
54,Otto II,m
55,Maria,m
56,Agryppa III,m
57,Mikołaj Zebrzydowski,m
58,Maria Kleofasowa,f
59,Eudoksos z Kyzikos,m
60,Tomasz Morosini,m
61,Wenekata II,m
62,Gabriel Batory,m
63,Ch’ŏngjin Kŭngyang,m
64,Sangje Gjaco,m
65,Paul Chomedey de Maissonneuve,m
66,Jacob van Swanenburgh,m
67,Han Chengdi,m
68,Ferdynand Habsburg,m
69,Chene de Wet,m
70,Bruno,m
71,Jan van der Straet,m
72,Donald z Forfar,m
73,Henri Membertou,m
74,Girolamo Frescobaldi,m
75,Aleksander Jannaj,m
76,Jacek Odrowąż,m
77,Hans Vredeman de Vries,m
78,Franciszek Masłowski,m
79,Taranatha,m
80,Alyattes II,m
81,Henry Oldenburg,m
82,Kazimierz II cieszyński,m
83,Jakob Stainer,m
84,Stefan Czetwertyński-Światopełk,m
85,"Luis Francisco de la Cerda, 9. książę Medinaceli",m
86,Stefan Potocki,m
87,Giorgio Vasari,m
88,Roksana,f
89,Walenty Łukawski,m
90,Thusnelda,m
91,Wit Stwosz,m
92,Justyn I,m
93,Alessandro Crivelli,m
94,Georg Scholtz,m
95,René Salarnier,m
96,Alojzy Gonzaga,m
97,Jan Kozina,m
98,Ulryk II Cylejski,m
99,Johann Hermann Schein,m
100,Narinaga,m
101,Mikołaj Skrzetuski,m
102,Konrad z Ascoli,m
103,Pedro Berruguete,m
104,Georg Böhm,m
105,Marek Oczerklewicz,m
106,Izaak,m
107,Bruno III z Bergu,m
108,Jan Bretoński,m
109,Denis Papin,m
110,Jan Fryderyk,m
111,Hoël II Bretoński,m
112,Stanisław Wyssygin,m
113,Piotr z Malborka,m
114,Tiberiu Rusu,m
115,Richard de Clare,m
116,Bogufał III z Czerlina,m
117,Yasutoki Hōjō,m
118,Lucius Antonius Saturninus,m
119,Aribo,m
120,Antioch I Soter,m
121,Azzo VIII d’Este,m
122,Fortunato Ilario Carafa della Spina,m
123,Demetriusz II Nikator,m
124,Bronisława Czekańska-Kucznerowicz,m
125,Herman II,m
126,Fabian Czema,m
127,Jan Andegaweński,m
128,Edward de Vere,m
129,Gertruda z Hackeborn,m
130,Krisznadewaraja,m
131,Hendrik Dubbels,m
132,Malcolm II,m
133,Daltaban Mustafa Pasza,m
134,Piotr II Medyceusz,m
135,Hannibal Germanus von Schmertzing,m
136,Anastazy III,m
137,Haakon Sigurdsson,m
138,Tomasz Kajetan,m
139,Tytus Oates,m
140,Wilhelm d’Évreux,m
141,Franciszek III Gattilusio,m
142,Roger Williams,m
143,Jan Zebrzydowski,m
144,Mychitar Gosz,m
145,Thorwald Aswaldsson,m
146,Tybald II Lotaryński,m
147,Ludwik Burgundzki,m
148,Oktawia Młodsza,m
149,Antoine Perrenot de Granvelle,m
150,Jan I,m
151,Paul Friedeborn,m
152,Bruno I von Mansfeld,m
153,Ryszard Plantagenet,m
154,Robert II d’Artois,m
155,Philis de La Charce,m
156,Blanka Kastylijska,f
157,Demetriusz Dukas Komnen Koutroules,m
158,Herkules I Grimaldi,m
159,Kammu,m
160,Nanta Guangyong,m
161,Willibald z Eichstätt,m
162,Friedrich von Schaumberg,m
163,Taddeo Gaddi,m
164,Gajusz Mariusz,m
165,Ekkehard II,m
166,Richard Kidder,m
167,Nabuchodonozor II,m
168,Ceolwulf z Nortumbrii,m
169,Władywoj,m
170,Robert II Stewart,m
171,Jacek Pomiankiewicz,m
172,Jeorjos Jatridis,m
173,Aleksy IV Wielki Komnen,m
174,Ajschylos,m
175,Henryk z Bolzano,m
176,Eraryk,m
177,John Taverner,m
178,Święty Erhard,m
179,Eardwulf z Rochester,m
180,Ippen,m
181,Jacob van Maerlant,m
182,Ludwik II Jąkała,m
183,Bruno z Kwerfurtu,m
184,Shandao,m
185,Albert van Ouwater,m
186,Samuel Daniel,m
187,Titu Cusi Yupanqui,m
188,Poliperchon,m
189,Robert Carr,m
190,Pompejusz,m
191,Filetus,m
192,Gajusz Juliusz Azizos,m
193,Siemowit II,m
194,Maciej z Kunvaldu,m
195,Jerzy Metelski,m
196,Heraklit,m
197,Ferdinand Auguste de Solaro,m
198,Katarzyna z Pallanzy,f
199,Ezechiel Paritius,m
200,Daniel Waldeck-Wildungen,m
201,Mikołaj z Wielkiego Chrząstowa Wierzbowski,m
202,Garcilaso de la Vega,m
203,Aleksander Sauli,m
204,Jan Albin z Krakowa,m
205,Wojciech Kaunitz,m
206,Karol I Dobry,m
207,Gajusz Flaminiusz Nepos,m
208,Zbysława kijowska,f
209,Jan Szafraniec,m
210,Pŏpgyŏng Hyŏnhwi,m
211,Bazyli Aleksander Ustrzycki,m
212,Radwan,m
213,Magnus I,m
214,Mardiros II,m
215,Jan Brueghel,m
216,Irena Dukaina,m
217,Krescencjusz z Jesi,m
218,Giovanni II Crispo,m
219,Sobiesław I czeski,m
220,Maria Elżbieta Wittelsbach,m
221,Michiel Sweerts,m
222,Mikołaj Radziwiłł Rudy,m
223,Adelajda Miśnieńska,f
224,Jules Hardouin-Mansart,m
225,Adrian z Canterbury,m
226,Fintan z Rheinau,m
227,Jabalaha III,m
228,Hieronim Rozdrażewski,m
229,Alfons IV d’Este,m
230,Domnika,m
231,Jorge Manrique,m
232,Babak,m
233,Kōkō,m
234,Nicolaus Olahus,f
235,Leoncjusz z Neapolis,m
236,Labid Ibn Rabi’a,m
237,Otton Orseolo,m
238,Francesco Abbondio Castiglioni,m
239,Sulchan Saba Orbeliani,m
240,Ernest II Szwabski,m
241,Leon V,m
242,Samuel Dunikowski,m
243,Publiusz Krassus,m
244,Elena Cornaro Piscopia,m
245,Kelsos i Marcjanilla,m
246,Andrzej Bogurski,m
247,Eufemiusz,m
248,Amerigo Vespucci,m
249,Tyberiusz,m
250,Hugo du Perche,m
251,Andrzej Stadnicki,m
252,Ruppert Wittelsbach,m
253,Antonio Pigafetta,m
254,Polikarp ze Smyrny,m
255,Peregrine Osborne,m
256,Paweł Stefan Sapieha,m
257,Beniamino Gally,m
258,Jan IX,m
259,Hongxi,m
260,Imagina von Isenburg-Limburg,f
261,Beatrice Cenci,m
262,Abd al-Mumin,m
263,Jan ścinawski,m
264,Antoni Supraski,m
265,Agnieszka z Lichtenburka,f
266,Kakinomoto no Hitomaro,m
267,Lech,m
268,Angelina Marsciano,f
269,Mateusz Jan Judycki,m
270,Zofia,m
271,Basawan,m
272,Jan Aleksander Gorczyn,m
273,Eliasz II,m
274,Romulus,m
275,Filip III,m
276,Stefania Quinzani,f
277,Andrzej Conti,m
278,Teodor Aleksander Lacki,m
279,Isma’il I,m
280,Edward III,m
281,Magdalena Wittelsbach,m
282,Notker Balbulus,m
283,Thông Biện,m
284,Sybilla z Normandii,f
285,Wilhelm III Dziecię,m
286,Karol de Mayenne,m
287,Benedetto Pamphili,m
288,Wolrad II,m
289,Henryk Fleming,m
290,Marcin Kretzmer,m
291,Notker Labeo,m
292,Antoni Juściński,m
293,Paweł I,m
294,Ahmed I,m
295,Johann Chrysostom Neborak,m
296,Ziemomysł inowrocławski,m
297,Saloniusz z Genewy,m
298,Giovanni Buonconsiglio,m
299,Wigiliusz z Trydentu,m
300,Almos,m
301,Godfryd I Bretoński,m
302,Józef z Nazaretu,m
303,Tomasz z Margi,m
304,Elżbieta Blount,f
