,entity,gender
0,Мастер Герхард,m
1,Сей Саллюстий,m
2,Фудзивара-но Ёсифуса,m
3,Евфимий Суздальский,m
4,Примас Орлеанский,m
5,Мария де Богун,f
6,Чуло-хан Силиг-бег-шад,m
7,Архедем из Тарса,m
8,Бруде V,m
9,Карл д’Артуа,m
10,Алексей Заболоцкий,m
11,Глеб Святославич,m
12,Олаф,m
13,Бернат Десклот,m
14,Публий Сульпиций Саверрион,m
15,Авл Триарий Руфин,m
16,Жеро,m
17,Жан I де Бурбон,m
18,Шуба ибн аль-Хаджжадж,m
19,Персиваль Дориа,m
20,Домиция Луцилла,m
21,Елена Груба,m
22,Джованна Скопелли,f
23,Флавий Филипп,m
24,Дагоберт III,m
25,Герульф Старший,m
26,Тигран II,m
27,Конмин,m
28,Станислав Глебович,m
29,Михаил VII Дука,m
30,Ирина Лакапина,f
31,Лливелин ап Мервин,m
32,Помпоний Басс,m
33,Балдуин,m
34,Сефи ад-Дин,m
35,Наддо Чеккарелли,m
36,Варака ибн Навфаль,m
37,Публий Помпоний Грецин,m
38,Уильям Маклсфилд,m
39,Иоанн Комнин Ватац,m
40,Феофилакт,m
41,Публий Элий Пет,f
42,Сянь-цзун,m
43,Морган ап Хивел,m
44,Трасилл,m
45,Динара,f
46,Береника,f
47,Стефан Скруп,m
48,Агафья Святославовна,f
49,Асаф Ллан-Эльвийский,m
50,Амори VI де Монфор,m
51,Набу-мукин-зери,m
52,Арванд,m
53,Лев из Монтефельтро,m
54,Урс I,m
55,Менандр,m
56,Зопир Младший,m
57,Адриан IV,m
58,Император Итоку,m
59,Лопу Суариш ди Албергария,m
60,Джеймс Гамильтон,m
61,Коу Цяньчжи,m
62,Гвидо Гонзага,m
63,Буриана,m
64,Педро Кастильский,m
65,Иван Мстиславский,m
66,Тянь Пянь,m
67,Этельред II Неразумный,m
68,Фарук I,m
69,Абд ал-Азиз,m
70,Лаврентий Джустиниани,m
71,Адольф Ньель,m
72,Андреа Эрна,m
73,герцогиня Эксетер Елизавета Ланкастерская,m
74,Чимальпопока,m
75,Дьего-Энрикес дель Кастильо,m
76,Мария Деспина Монгольская,f
77,Юлия Меса,f
78,Ида фон Арнсберг,m
79,Бурхард III фон Кверфурт,m
80,Марк Фурий Камилл,m
81,Тимарет,m
82,Спурий Постумий Альбин Павлул,m
83,Борис Вячеславич,m
