,entity,gender
0,John Guise Cowley,m
1,Ivan Zajc,m
2,Herbert Cecil Duncan,m
3,Jules-Jean-Baptiste Chiara,m
4,Franc Zorko,m
5,Louis-Gustave Bérard,m
6,Papež Melkijad,m
7,Keplerjeva domneva,f
8,Ivan Gornik,m
9,Giovanni Simeoni,m
10,Georges Antoine Pons Rayet,m
11,Džov Enlaj,m
12,Roy Martyn Jerram,m
13,Vincenzo Bellini,m
14,Frederick Hanley Seares,m
15,Ivan Erazem Tattenbach,m
16,József D. Bajnóczy,m
17,David Murray Murray-Lyon,m
18,Jean-Pierre Wimille,m
19,Ansprand,m
20,Mircea I. Vlaški,m
21,George Mark Davy,m
22,Janez Sedej,m
23,Clement Comer Clay,m
24,Franc Smolej,m
25,Jean-Baptiste Lachenaud,m
26,Clarance Churchill Mann,m
27,Louis Bouët,m
28,Erwin Rommel,m
29,Ivan Bernik,m
30,Wolfgang Gottfried Leopold von Auersperg,m
31,Ivan II. Komnen,m
32,Ernest William Sansom,m
33,Minden Whyte-Melville Macleod,m
34,Lucy Parsons,m
35,Ignacij Klemenčič,m
36,Emile-François-Joseph Carré,m
37,Guido Novak von Arienti,m
38,Harold Darragh,m
39,Oton Bajc,m
40,Jelica Čok,m
41,Kutalmiš,m
42,John Albert Charles Whitaker,m
43,Višeslav,m
44,Karl Gruber,m
45,Štefan V. Ogrski,m
46,Mitar Martinović,m
47,Enrico Francisci,m
48,Louise Bickerton,m
49,Vasco da Gama,m
50,Lucien Tesnière,m
51,Poul Thymann,m
52,Elisaveta Bagrjana,m
53,Hjalmar Hammarskjöld,m
54,Friedrich Karmann,m
55,Miklós Horthy,m
56,Henry Marrian Perry,m
57,Sesšu Tojo,m
58,Ernst Werner von Siemens,m
59,Josef Rublič,m
60,Margareta Puhar,m
61,André Boniface Louis Riqueti de Mirabeau,m
62,Feliks Rezdrih,m
63,Thomas Nelson Page,m
64,Giovanni Antonio Viscardi,m
65,Jerica Zemljan,m
66,Blaise-Henry-Donatien Barbe,m
67,Maks Miklavčič,m
68,Nestor,m
69,Ferdinand Udvardy,m
70,Tomás de Torquemada,m
71,Edmond-Joseph-Louis-Jules Laurent,m
72,Angelo Bartolomasi,m
73,Bolesław Zarako-Zarakowski,m
74,Kurt Lewin,m
75,Arthur Seaforth Blackburn,m
76,Laurence Doherty,m
77,Ferdo Kočevar,m
78,Mihael Županek,m
79,Albert Hill,m
80,Carl Gustav Rehnskiöld,m
81,Gerard Herbert Leo Mole,m
82,John Sullivan,m
83,Pavle Blaznik,m
84,Anton Majnik,m
85,James Naismith,m
86,Jurij Ipavec,m
87,Luka Čeč,m
88,Georges-Henri-Auguste Beaumont,m
89,Nicolangelo Carnimeo,m
90,Lazare Nicolas Marguerite Carnot,m
91,Marcel-Maurice Carpentier,m
92,Jani Muhič,m
93,Pandolfo II. Malatesta,m
94,Charles Karle,m
95,Balša II.,m
96,David Gill,m
97,Bengt Edlén,m
98,Georgios Lavdas,m
99,Imre Augustič,m
100,Benjamin Carl Lester,m
101,Frederick George Donnan,m
102,Franjo Malgaj,m
103,Lev Genrihovič Šnireljman,m
104,Sloan Doak,m
105,Ćiril Metod Iveković,m
106,Rudolf Valdec,m
107,Felix Mottl,m
108,Ridley Pakenham Pakenham-Walsh,m
109,John Rosworm,m
110,Jorge Montt,m
111,Alfred Leonard Forster,m
112,Arnaldo Azzi,m
113,Jože Gregorčič,m
114,Lucien-Louis-Joseph-Napoléon Bonaparte,m
115,George Dawes,m
116,Robert Robertson,m
117,Gustaf Otto Stenbock,m
118,Alojz Urbančič,m
119,Lovrenc Čadež,m
120,Alfred Sisley,m
121,Papež Kalist III.,m
122,Vincenzo Lancia,m
123,Agostino Steffani,m
124,Gerolamo Ramorino,m
125,Patrick Augustine Sheehan,m
126,Donald Jay McMullen,m
127,Herbert Ernest Hart,m
128,Lambert Ferčnik,m
129,Antonio Pallotta,m
130,Gustav Ipavec,m
131,Franklin Fearing Wing mlajši,m
132,Teja,m
133,Babur,m
134,Władysław Anders,m
135,Amédée-Alexandre-Gabriel-Henri Thierry,m
136,Karl Bonger,m
137,Juan Zanelli,m
138,Rachel Ruysch,m
139,Papež Teodor II.,m
140,Francesco Mantica,m
141,Guntram,m
142,Andreas Werckmeister,m
143,John Arnold Atkinson Griffin,m
144,Cesar Murakami,m
145,Ivan Mercina,m
146,John Taylor,m
147,Hermann Mayer Salomon Goldschmidt,m
148,Peng Dehuaj,m
149,Giovanni Antonio San Giorgio,m
150,Ivan Gorjup,m
151,John William Hinchcliffe,m
152,Angus Lyell Collier,m
153,Adelma Vay de Vaya,m
154,Savai Džai Singh,m
155,Ippen Shonin,m
156,Pedro Eugenio Aramburu,m
157,George Erroll Prior-Palmer,m
158,Wilhelm Baumeister,m
159,Irena Dukas,f
160,Maurice Somerville Chilton,m
161,Edoardo Borromeo,m
162,Beno Gutenberg,m
163,Šah Džalal,m
164,Sven Säfwenberg,m
165,Ferdinand Ullrich,m
166,Johann Joseph von Trautson,m
167,Giuseppe Podgornik,m
168,Samuel Goldwyn,m
169,Ljudevit Pivko,m
170,Hyacinthe Aube,m
171,Josip Sedej,m
172,Benjamin Thompson,m
173,Bérengar de Landore,m
174,Franz Liszt,m
175,Jules Lewal,m
176,As-Sabah,m
177,Bogdan Binter,m
178,Bernard Bosanquet,m
179,William Jackson Rutherford,m
180,William Elford Leach,m
181,Stephen Gray,m
182,Odo iz Arezza,m
183,Juan Bautista Alberdi,m
184,Ilija Garašanin,m
185,Samuel Oppenheimer,m
186,Edward Mannock,m
187,Bogdan Brecelj,m
188,Luka Svetec,m
189,Karel IX. Švedski,m
190,Oscar Rompani,m
191,Joseph Rogniat,m
192,Guillaume-Joseph-Hyacinthe-Jean-Baptiste Le Gentil,m
193,William Simms mlajši,m
194,Nikolaj Aleksejevič Umov,m
195,"Armand-Nompar de Caumont, duc de la Force",m
196,Janez Krstnik Schoettl,m
197,Arthur Stanley Eddington,m
198,Valentin Korun,m
199,Otto Loewi,m
200,Michael Arthur Green,m
201,Henri-Cardin-Jean-Baptiste d'Aguesseau,m
202,Anton Šerf,m
203,Elizabeta Frankopanska,f
204,Cordell Hull,m
205,Geber,m
206,Vivian Davenport Thomas,m
207,Eddie Hertzberger,m
208,Boris Andrijanič,m
209,Olaf Hytten,m
210,Albert-Raymond Mellier,m
211,Vladimir Vladimirovič Majakovski,m
212,Jeannette Rankin,m
213,Mirko Pibernik,m
214,Martin Kores,m
215,Vannoccio Biringuccio,m
216,Avgust Guzelj,m
217,Ivan Bajželj,m
218,Jožef Savinšek,m
219,Léon Jullien,m
220,Bratje Marx,m
221,Carl Humann,m
222,Stanley Žele,m
223,Aurel Aldea,m
224,Robert Hadden Haining,m
225,Eugène Soubeiran,m
226,Geoffrey Woodroffe Palmer,m
227,Angelo Cerkvenik,m
228,Ciril Ravbar,m
229,Papež Benedikt XV.,m
230,Juan Pistarini,m
231,Paul-André Doyen,m
232,Francesco Roberti,m
233,Albert Ball,m
234,Stipan Konzul,m
235,Anton Foerster,m
236,Alexander Baccarcich von Nagy-Écs,m
237,Karl Berger,m
238,Albin Dunajewski,m
239,"Henry Maitland Wilson, 1st Baron Wilson",m
240,Denys Whitehorn Reid,m
241,Edward Hopper,m
242,Volf Engelbert Turjaški,m
243,Robert Mazaud,m
244,Papež Honorij I.,m
245,Etbin Kristan,m
246,Franc Ferdinand Kuenburg,m
247,Mary Forbes,m
248,Milan Žumer,m
249,Lovato Lovati,m
250,Ali-paša Rizvanbegović,m
251,Leslie Richard Groves,m
252,Carl Wilhelm von Nägeli,m
253,Hakon Børresen,m
254,Sveti Kvirin,m
255,Nobutake Kondo,m
256,Christoph Bartholomäus Anton Migazzi,m
257,Amedeo di Castellamonte,m
258,Ernst Adam,m
259,Charles Aman,m
260,Ivan III. Vasiljevič,m
261,Helmuth Johann Ludwig von Moltke,m
262,Évariste Galois,m
263,Georg Pfeiffer,m
264,Karlo Adamič,m
265,Otto Vasiljevič Struve,m
266,Tomaž Fantoni,m
267,Džingiskan,m
268,Louis-Germain Girol,m
269,Lumsden Cummings,m
270,Anton Antonovič Skalon,m
271,Huang Dzongši,m
272,Franc Hubad,m
273,Fran Dolšak,m
274,Gordon Wilson,m
275,Junije Resti,m
276,Leopold Belar,m
277,Josip Turk,m
278,Karl Wilhelm von Bormann,m
279,Eric Brickman,m
280,Manuel Bento Rodrigues da Silva,m
281,Maslama ibn Abd al-Malik,m
282,Iosif Iacobici,m
283,Silva Exel Škerlak,m
284,Jan Olieslagers,m
285,Giovanni Battista Doni,m
286,Cornelis de Houtman,m
287,Jerzy Skolimowski,m
288,Adrien Baillet,m
289,Andronik V. Paleolog,m
290,Davorin Nemanič,m
291,Ulrik II. Žovneški,m
292,Leopold Bolko,m
293,Tiny Thompson,m
294,Toni Ulmen,m
295,Jean-Pierre de Beaulieu,m
296,Boris Rihteršič,m
297,Kenneth Morley Loch,m
298,Pieter Does,m
299,Ernesto Civardi,m
300,Mieczysław Trojanowski-Rys,m
301,Yrjö Väisälä,m
302,Antoine-Marie-Gabriel Goursolas,m
303,Kučuk Mohamed,m
304,Alan John Keefe Pigott,m
305,Ján Krstitel Scitovszky,m
306,Franciszek Kleeberg,m
307,Pehr Evind Svinhufvud,m
308,Anton Podbevšek,m
309,Joachim von Ribbentrop,m
310,Isaac Albéniz,m
311,Ignacij Orožen,m
312,Leonce Girardot,m
313,Vasile Chitu,m
314,Alphonse Lacroix,m
315,Henri Chandèze,m
316,Georges Piot,m
317,Louis-Eugène-Benoît-Léon Couvy,m
318,Mauro Codussi,m
319,Vladas Nagevičius,m
320,Leó Szilárd,m
321,Ignaz Gyulay,m
322,Janez Bosko,m
323,Papež Štefan IV.,m
324,Ulysses S. Grant,m
325,René-Jules Troublé,m
326,Alexandru Orășanu,m
327,Joseph Liouville,m
328,Ludvik XV. Francoski,m
329,Cecil Llewellyn Firbank,m
330,Henri François de Ségur,m
331,Anton Knaflič,m
332,Ian Stanley Ord Playfair,m
333,Mihail Semjonovič Voroncov,m
334,Papež Liberij,m
335,Aleksandra Alavanja Drucker,m
336,Iraklij Abašidze,m
337,Claude Debussy,m
338,Jean-Claude-Louis-Victor Bouley,m
339,Stanko Premrl,m
340,Giulio della Rovere,m
341,Elizabeta Báthory,m
342,Ferdinand de Saussure,m
343,Bonaventura Herga,m
344,Fric Keršič,m
345,Wilhelm von Humboldt,m
346,Honoré de Balzac,m
347,Jan Andrzej Sadowski-Jagmin,m
348,Stepan Ivanovič Aljušin,m
349,Konrad von Jungingen,m
350,Rudolph Goclenius,m
351,Josip Poklukar,m
352,Atanasie Petculescu,m
353,Joseph Hamilton Beattie,m
354,Štefan Küzmič,m
355,Aleksej Semjonovič Kologrivov,m
356,Jane Addams,m
357,Franc Perpar,m
358,Ernest Geoffrey Weeks,m
359,Viljem iz Tira,m
360,Ian David Erskine,m
361,Luigi Amedeo Savojski,m
362,Wilhelm Hünermann,m
363,Gabrijel Tomažič,m
364,George Thomson,m
365,Ottó Abt,m
366,Anton Gertscher,m
367,Ljudmila Dolar Mantuani,m
368,Henry Charles Deans Rankin,m
369,Michele Ruggieri,m
370,Paul-Alexandre-Pierre Bourget,m
371,Rudolf Lüters,m
372,Franc Globočnik,m
373,Ralph Alger Bagnold,m
374,Valentin Vodnik,m
375,Klaus Wolf,m
376,John Leslie,m
377,Evelyn Hugh Barker,m
378,Georges Boillot,m
