,entity,gender
0,Франс Альфред Менг,m
1,Олексій Золотарьов,m
2,Ендрю Мак-Келлар,m
3,Валерій Ярмош,m
4,Кирило Осипов,m
5,Петро Басараб,m
6,Аделіна Загідулліна,f
7,Фердинанд Врангель,m
8,Вадим Чупрун,m
9,Опанас Блінов,m
10,Гердьо Кіш,m
11,Ное Жорданія,m
12,Ува Елдерсон Ечіеджіле,m
13,Віталій Власов,m
14,Драготін Кетте,m
15,Іван Ковтуненко,m
16,Філіберт Смеллінкс,m
17,Денис Паршин,m
18,Марті Балін,m
19,Любомир Михайлів,m
20,Анатолій Максимчук,m
21,Ярослав Попович,m
22,Гафія Візичканич,f
23,Віктор Борейчук,m
24,Сантьяго Джентілетті,m
25,Остап Шипайло,m
26,Єва Сапі,f
27,Барнетт Ньюман,m
28,Сюе Хайфен,m
29,Джон Пол Джонс,m
30,Ю Ін Йон,f
31,Стефанія Гурська,f
32,Єлена Чаушеску,f
33,Меланія Ленчовська,f
34,Ясин Хамід,m
35,Михайло Мейлах,m
36,Олівер Хасслер,m
37,Єгор Дубровський,m
38,Гарольд Прінс,m
39,Йозеф Костка,m
40,Анатолій Дергачов,m
41,Ендрю Рок,m
42,Єва-Марія Чорнакец,f
43,Юстиніан Овчинников,m
44,Віктор Тіткін,m
45,Адольф III фон Шаумбург,m
46,Кхель Лаугеруд Гарсіа,m
47,Норовин Алтанхуяг,m
48,Саммо Хунг,m
49,Дмитро Андро,m
50,Юрій Сокорський,m
51,Алла Супрун,f
52,Григорій Федосєєв,m
53,Микола Синдряков,m
54,Кімура Хіроюкі,m
55,У Сан Гвон,m
56,Мартін Кре,m
57,Кароль Бадецький,m
58,Сугіхара Тіуне,m
59,Дімітер Анагності,m
60,Борис Гуцуляк,m
61,Петро Днєпров,m
62,Віктор Аксельсен,m
63,Віталій Грачов,m
64,Максим Ткаченко,m
65,Олег Сергеєв,m
66,Катьо Хіротада,m
67,Мирослав Коцюлим,m
68,Аристотель Онассіс,m
69,Дасун Пранавітхана,f
70,Том Вангенегден,m
71,Стефан Савич,m
72,Леопольд Бюркнер,m
73,Дмитро Єрофєєв,m
74,Максим Бурбак,m
75,Маді Кристіянс,f
76,J. Cole,m
77,Фредерік Лугард,m
78,Жан Кретьєн,m
79,Богдан Петренко,m
80,Дар'я Віролайнен,f
81,Іван Заєць,m
82,Роман Сивенький,m
83,Василь Полтавчук,m
84,Міша Бартон,f
85,Олександр Крамаров,m
86,Альбер Дюпонтель,m
87,Октай Уркал,m
88,Броніслава Кербеліте,m
89,Ольга Токарчук,f
90,Катерина Авхімович,f
91,Віра Тезик,f
92,Трейнтьє Кеевер,m
93,Едвард Гаркнесс,m
94,Ангурі Райс,f
95,Едуард Левен,m
96,Станіслав Язиков,m
97,Ольга Черен,f
98,Леонід Хінкулов,m
99,Тамара Ганієва,f
100,Григорій Антонов,m
101,Хосе Луїс Паломіно,m
102,Євген Столиця,m
103,Олег Липський,m
104,Дідушицький Мечислав Антоній,m
105,Анатолій Берлач,m
106,Мікулаш Дзурінда,f
107,Паскуал Марагаль,m
108,Геннадій Єврюжихін,m
109,П'єр Гійота,m
110,Петер Вереш,m
111,Казбегі Олександр,m
112,Сісават Сірік Матак,m
113,Ніколас Песке,m
114,Альберт Невігер,m
115,Іван Кушніренко,m
116,Назім Белходжа,m
117,Бо Байден,m
118,Євдокія Талан,f
119,Синиша Бранкович,m
120,Валерій Гелашвілі,m
121,Імператор Ґо-Ен'ю,m
122,Джермейн Тейлор,m
123,Юрій Ванкевич,m
124,Вільям Мейсон,m
125,Олександр Осауленко,m
126,Павло Шишолін,m
127,Джон Кетліфф,m
128,Антон Чехов,m
129,Віктор Кулібаба-Бухов,m
130,Ігнацій Бернштейн,f
131,Артур Мас,m
132,Аксель,m
133,Еван Гендлер,m
